
 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 
[t=1056000.0s] a=8568, e=0.2068, goal_e=0.0413, Fr=-0.7524, Fs=1.0000, reward=-755.718
[t=1068000.0s] a=8578, e=0.2055, goal_e=0.0413, Fr=-1.0000, Fs=1.0000, reward=-608.115
[t=1080000.0s] a=8586, e=0.2064, goal_e=0.0413, Fr=-1.0000, Fs=0.6814, reward=-853.033
[t=1092000.0s] a=8590, e=0.2064, goal_e=0.0413, Fr=0.8446, Fs=0.7993, reward=-672.028
[t=1104000.0s] a=8573, e=0.2056, goal_e=0.0413, Fr=0.7608, Fs=0.7519, reward=-782.026
[t=1116000.0s] a=8573, e=0.2053, goal_e=0.0413, Fr=-0.9050, Fs=-1.0000, reward=-779.738
[t=1128000.0s] a=8587, e=0.2056, goal_e=0.0413, Fr=-0.8551, Fs=1.0000, reward=-656.229
[t=1140000.0s] a=8573, e=0.2065, goal_e=0.0413, Fr=-1.0000, Fs=-1.0000, reward=-782.194
[t=1152000.0s] a=8567, e=0.2064, goal_e=0.0413, Fr=-0.7240, Fs=0.3391, reward=-549.587
[t=1164000.0s] a=8566, e=0.2070, goal_e=0.0413, Fr=-0.1485, Fs=0.3439, reward=-743.358
[t=1176000.0s] a=8567, e=0.2076, goal_e=0.0413, Fr=0.4948, Fs=-0.2498, reward=-748.793
[t=1188000.0s] a=8567, e=0.2081, goal_e=0.0413, Fr=-0.5993, Fs=-0.9592, reward=-751.883
[t=1200000.0s] a=8569, e=0.2090, goal_e=0.0413, Fr=0.4775, Fs=-1.0000, reward=-766.508
[t=1212000.0s] a=8570, e=0.2092, goal_e=0.0413, Fr=1.0000, Fs=0.4805, reward=-573.682
[t=1224000.0s] a=8575, e=0.2085, goal_e=0.0413, Fr=-0.1164, Fs=-0.5401, reward=-797.934
[t=1236000.0s] a=8585, e=0.2094, goal_e=0.0413, Fr=1.0000, Fs=-0.3610, reward=-649.550
[t=1248000.0s] a=8580, e=0.2099, goal_e=0.0413, Fr=-1.0000, Fs=-0.5981, reward=-827.396
[t=1260000.0s] a=8564, e=0.2102, goal_e=0.0413, Fr=1.0000, Fs=-0.1806, reward=-538.859
[t=1272000.0s] a=8560, e=0.2099, goal_e=0.0413, Fr=-1.0000, Fs=1.0000, reward=-515.183
[t=1284000.0s] a=8562, e=0.2089, goal_e=0.0413, Fr=-1.0000, Fs=-1.0000, reward=-526.660
[t=1296000.0s] a=8577, e=0.2095, goal_e=0.0413, Fr=-0.9957, Fs=-1.0000, reward=-1944.623
 FAILURE #5 of #5 episodes

 ------------------------------------------------- 
[t=12000.0s] a=8498, e=0.1309, goal_e=0.1243, Fr=-0.4682, Fs=-0.7936, reward=-47.966
