
 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 
[t=1236000.0s] a=8455, e=0.0984, goal_e=0.2452, Fr=0.4213, Fs=-0.3932, reward=-365.698
[t=1248000.0s] a=8461, e=0.0994, goal_e=0.2452, Fr=-0.8614, Fs=-0.7095, reward=-523.737
[t=1260000.0s] a=8465, e=0.0993, goal_e=0.2452, Fr=1.0000, Fs=0.7147, reward=-507.803
[t=1272000.0s] a=8464, e=0.1001, goal_e=0.2452, Fr=-1.0000, Fs=-0.7878, reward=-512.693
[t=1284000.0s] a=8475, e=0.1005, goal_e=0.2452, Fr=0.4052, Fs=-0.3227, reward=-259.309
[t=1296000.0s] a=8481, e=0.1000, goal_e=0.2452, Fr=-0.5927, Fs=0.8322, reward=-765.175
 FAILURE #4 of #4 episodes

 ------------------------------------------------- 
[t=12000.0s] a=8497, e=0.0731, goal_e=0.1489, Fr=1.0000, Fs=1.0000, reward=-232.929
[t=24000.0s] a=8503, e=0.0725, goal_e=0.1489, Fr=-0.3097, Fs=0.3171, reward=-30.856
[t=36000.0s] a=8516, e=0.0730, goal_e=0.1489, Fr=-0.8186, Fs=0.5522, reward=-266.407
[t=48000.0s] a=8506, e=0.0739, goal_e=0.1489, Fr=0.8139, Fs=-0.2060, reward=-33.654
[t=60000.0s] a=8508, e=0.0737, goal_e=0.1489, Fr=-0.3851, Fs=0.5471, reward=-236.832
[t=72000.0s] a=8500, e=0.0746, goal_e=0.1489, Fr=1.0000, Fs=-0.1635, reward=-7.727
[t=84000.0s] a=8499, e=0.0758, goal_e=0.1489, Fr=0.3140, Fs=-0.2963, reward=-222.347
[t=96000.0s] a=8499, e=0.0759, goal_e=0.1489, Fr=-0.2592, Fs=0.3442, reward=-222.460
[t=108000.0s] a=8513, e=0.0769, goal_e=0.1489, Fr=-0.5927, Fs=1.0000, reward=-48.436
[t=120000.0s] a=8510, e=0.0762, goal_e=0.1489, Fr=1.0000, Fs=0.5779, reward=-239.384
[t=132000.0s] a=8506, e=0.0767, goal_e=0.1489, Fr=-1.0000, Fs=-0.1701, reward=-8.127
[t=144000.0s] a=8495, e=0.0774, goal_e=0.1489, Fr=1.0000, Fs=-1.0000, reward=-25.154
[t=156000.0s] a=8494, e=0.0777, goal_e=0.1489, Fr=-1.0000, Fs=0.6931, reward=-26.187
[t=168000.0s] a=8503, e=0.0781, goal_e=0.1489, Fr=-0.5243, Fs=-0.6298, reward=-20.887
[t=180000.0s] a=8499, e=0.0786, goal_e=0.1489, Fr=-0.4749, Fs=1.0000, reward=-19.648
[t=192000.0s] a=8498, e=0.0784, goal_e=0.1489, Fr=-1.0000, Fs=0.3917, reward=-220.669
[t=204000.0s] a=8491, e=0.0793, goal_e=0.1489, Fr=1.0000, Fs=-1.0000, reward=-231.747
[t=216000.0s] a=8498, e=0.0787, goal_e=0.1489, Fr=0.0961, Fs=0.5796, reward=-217.852
[t=228000.0s] a=8505, e=0.0800, goal_e=0.1489, Fr=0.2657, Fs=0.3433, reward=-18.128
[t=240000.0s] a=8505, e=0.0797, goal_e=0.1489, Fr=-0.7511, Fs=1.0000, reward=-21.067
[t=252000.0s] a=8490, e=0.0801, goal_e=0.1489, Fr=1.0000, Fs=0.6984, reward=-30.284
[t=264000.0s] a=8497, e=0.0802, goal_e=0.1489, Fr=0.5008, Fs=-1.0000, reward=-218.312
[t=276000.0s] a=8496, e=0.0794, goal_e=0.1489, Fr=-0.2330, Fs=0.3560, reward=-217.832
[t=288000.0s] a=8490, e=0.0799, goal_e=0.1489, Fr=1.0000, Fs=1.0000, reward=-33.627
[t=300000.0s] a=8489, e=0.0808, goal_e=0.1489, Fr=-1.0000, Fs=0.5209, reward=-234.574
[t=312000.0s] a=8494, e=0.0814, goal_e=0.1489, Fr=-1.0000, Fs=-0.4023, reward=-219.951
[t=324000.0s] a=8495, e=0.0831, goal_e=0.1489, Fr=-0.0942, Fs=0.9995, reward=-213.885
[t=336000.0s] a=8515, e=0.0844, goal_e=0.1489, Fr=0.9227, Fs=-0.2687, reward=-239.899
[t=348000.0s] a=8507, e=0.0848, goal_e=0.1489, Fr=-0.4274, Fs=0.9912, reward=-214.375
[t=360000.0s] a=8497, e=0.0840, goal_e=0.1489, Fr=-1.0000, Fs=-0.6459, reward=-209.848
[t=372000.0s] a=8497, e=0.0850, goal_e=0.1489, Fr=0.2120, Fs=0.2712, reward=-204.859
[t=384000.0s] a=8509, e=0.0858, goal_e=0.1489, Fr=-0.0855, Fs=-0.3314, reward=-214.296
[t=396000.0s] a=8503, e=0.0867, goal_e=0.1489, Fr=-0.0858, Fs=-0.9620, reward=-203.879
[t=408000.0s] a=8492, e=0.0872, goal_e=0.1489, Fr=-0.7088, Fs=1.0000, reward=-211.726
[t=420000.0s] a=8490, e=0.0875, goal_e=0.1489, Fr=0.6038, Fs=-0.7229, reward=-217.556
