a (km),e,i (rad),RAAN (rad),argp (rad),nu (rad),mass (kg)
6999.929305957888,0.020001632067221817,0.8901350292641178,5.478527062537991,0.00018895469343904034,2.169002251682987,499.9906926565157
6999.929305957888,0.020001632067221817,0.8901350292641178,5.478472138616013,0.00023172631763707742,2.2322068315684915,499.9906926565157
6999.925425491998,0.020002001953245894,0.8901350609988582,5.478417578477595,0.0002531166054462285,2.2953051773510738,499.99064163609944
6999.858277763661,0.02000444219719469,0.890135209377456,5.478366585419903,-0.00024823621692956176,2.3588033488271423,499.9896219400146
6999.858277763661,0.02000444219719469,0.890135209377456,5.478311659547149,-0.00020546310250633685,2.4216465035849586,499.9896219400146
6999.857703072761,0.0200014490188063,0.8901354839541333,5.47825217908538,-0.0003387710793590608,2.484563052354176,499.9888739712143
6999.857703072761,0.0200014490188063,0.8901354839541333,5.478197253228627,-0.00029599802149566447,2.547203116612876,499.9888739712143
6999.865156402271,0.01999959250795542,0.8901357439969131,5.47814069937969,-0.0002943745487001742,2.6097961493588206,499.98859139762743
6999.881078537589,0.019997472361465145,0.8901354903588155,5.478086975868798,-0.00020467339154646517,2.6722187537181146,499.988397506351
6999.881078537589,0.019997472361465145,0.8901354903588155,5.478032050671926,-0.00016190084858888555,2.7346173018785027,499.988397506351
6999.881078537589,0.019997472361465145,0.8901354903588155,5.477977125475055,-0.00011912830563130592,2.7969531386137816,499.988397506351
6999.922631380877,0.019991525225425154,0.8901362844110331,5.477920096662822,-1.0412243484172031e-05,2.8591710006543343,499.9879396333076
6999.927738032956,0.019990691776720484,0.8901360636644148,5.47786567557106,2.0113829964659698e-05,2.9214214942106778,499.9878464759851
6999.945872393915,0.019988257941032716,0.8901365577615341,5.477809773826582,0.00012852745322293135,2.983560616618332,499.9876173976836
6999.919911326738,0.019992095271518174,0.8901375091439826,5.477753200651927,0.00018079602560334943,3.045731472395699,499.98729123350597
6999.824173795469,0.020006255600114226,0.8901366950691035,5.477699517695809,0.00035660539029595513,3.1077615952707274,499.98627154425395
6999.763367753238,0.020015102572688962,0.8901398174963017,5.477640385340369,0.00017949522421949513,3.1701423816505274,499.9852873043646
6999.710946678953,0.020022668571632162,0.8901428048756261,5.477581904242914,0.0002937353901426557,3.232235643323843,499.98456925265793
6999.711367864618,0.020022617252634236,0.8901427449486262,5.477527037617581,0.00033234038413265844,3.294416437779123,499.98455495850993
6999.702489984027,0.020023754667190516,0.8901414543969293,5.477473297975457,0.000420680969888378,3.356570811932988,499.98432088042165
6999.689170737601,0.020023694710808247,0.8901398279082736,5.477419679592853,0.000856818219548826,3.4184109747582263,499.98330119711164
6999.617947455757,0.020034325178167067,0.8901366286115169,5.477366985709977,0.0009421370399535592,3.4806444335799314,499.9824347020885
6999.6035213487485,0.020034186433066807,0.8901417784966574,5.4773089675732995,0.0012830327395784808,3.5426781690779863,499.98141502274103
6999.6035213487485,0.020034186433066807,0.8901417784966574,5.477254035018222,0.0013258100026256924,3.605070015698719,499.98141502274103
6999.6035213487485,0.020034186433066807,0.8901417784966574,5.477199102463144,0.001368587265672904,3.6675329245659407,499.98141502274103
6999.6035213487485,0.020034186433066807,0.8901417784966574,5.477144169908067,0.0014113645287201155,3.7300757772841533,499.98141502274103
