
 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 
[t=204000.0s] e=0.10, goal=0.00, Fr=1.0000, Fs=-0.8431, reward=-4.985
[t=216000.0s] e=0.10, goal=0.00, Fr=0.5488, Fs=0.1993, reward=-4.990
[t=228000.0s] e=0.10, goal=0.00, Fr=1.0000, Fs=0.4921, reward=-5.016
[t=240000.0s] e=0.10, goal=0.00, Fr=0.0262, Fs=-1.0000, reward=-5.015
[t=252000.0s] e=0.10, goal=0.00, Fr=0.3431, Fs=-0.4335, reward=-4.996
[t=264000.0s] e=0.10, goal=0.00, Fr=-1.0000, Fs=-1.0000, reward=-5.001
[t=276000.0s] e=0.10, goal=0.00, Fr=-1.0000, Fs=-0.1151, reward=-5.062
[t=288000.0s] e=0.10, goal=0.00, Fr=1.0000, Fs=1.0000, reward=-5.083
[t=300000.0s] e=0.10, goal=0.00, Fr=0.5043, Fs=-1.0000, reward=-5.110
[t=312000.0s] e=0.10, goal=0.00, Fr=0.3826, Fs=1.0000, reward=-5.114
[t=324000.0s] e=0.10, goal=0.00, Fr=-0.2880, Fs=-0.7065, reward=-5.061
[t=336000.0s] e=0.10, goal=0.00, Fr=1.0000, Fs=0.4044, reward=-5.096
[t=348000.0s] e=0.10, goal=0.00, Fr=-0.1185, Fs=0.3833, reward=-5.126
[t=360000.0s] e=0.10, goal=0.00, Fr=-1.0000, Fs=-0.8190, reward=-5.110
[t=372000.0s] e=0.10, goal=0.00, Fr=-1.0000, Fs=1.0000, reward=-5.098
[t=384000.0s] e=0.10, goal=0.00, Fr=-1.0000, Fs=0.1356, reward=-5.022
[t=396000.0s] e=0.10, goal=0.00, Fr=-1.0000, Fs=0.6153, reward=-5.016
[t=408000.0s] e=0.10, goal=0.00, Fr=-0.1996, Fs=0.9756, reward=-5.002
[t=420000.0s] e=0.10, goal=0.00, Fr=0.5802, Fs=0.5960, reward=-4.962
[t=432000.0s] e=0.10, goal=0.00, Fr=-0.6029, Fs=1.0000, reward=-4.956
[t=444000.0s] e=0.10, goal=0.00, Fr=0.2345, Fs=-1.0000, reward=-4.929
[t=456000.0s] e=0.10, goal=0.00, Fr=-0.1194, Fs=-0.5690, reward=-4.937
[t=468000.0s] e=0.10, goal=0.00, Fr=0.6394, Fs=-0.4225, reward=-4.902
[t=480000.0s] e=0.10, goal=0.00, Fr=0.1730, Fs=-1.0000, reward=-4.915
[t=492000.0s] e=0.10, goal=0.00, Fr=-0.7202, Fs=-1.0000, reward=-4.884
[t=504000.0s] e=0.10, goal=0.00, Fr=0.2090, Fs=0.7484, reward=-4.885
[t=516000.0s] e=0.10, goal=0.00, Fr=0.7761, Fs=-1.0000, reward=-4.879
[t=528000.0s] e=0.10, goal=0.00, Fr=0.9418, Fs=0.3012, reward=-4.866
[t=540000.0s] e=0.10, goal=0.00, Fr=0.7885, Fs=0.3982, reward=-4.876
[t=552000.0s] e=0.10, goal=0.00, Fr=1.0000, Fs=-1.0000, reward=-4.807
[t=564000.0s] e=0.10, goal=0.00, Fr=1.0000, Fs=-1.0000, reward=-4.829
[t=576000.0s] e=0.10, goal=0.00, Fr=0.6220, Fs=-1.0000, reward=-4.867
[t=588000.0s] e=0.10, goal=0.00, Fr=1.0000, Fs=-1.0000, reward=-4.903
[t=600000.0s] e=0.10, goal=0.00, Fr=1.0000, Fs=1.0000, reward=-4.895
[t=612000.0s] e=0.10, goal=0.00, Fr=1.0000, Fs=-1.0000, reward=-4.912
[t=624000.0s] e=0.10, goal=0.00, Fr=0.8331, Fs=0.1056, reward=-4.937
