
 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 
[t=672000.0s] a=7867, e=0.1001, goal_e=0.0000, Fr=0.3481, Fs=0.6285, reward=4.888
[t=684000.0s] a=7864, e=0.0978, goal_e=0.0000, Fr=1.0000, Fs=-1.0000, reward=-10.114
[t=696000.0s] a=7871, e=0.0959, goal_e=0.0000, Fr=-1.0000, Fs=-1.0000, reward=4.884
[t=708000.0s] a=7885, e=0.0934, goal_e=0.0000, Fr=-0.6988, Fs=-1.0000, reward=-10.118
[t=720000.0s] a=7890, e=0.0917, goal_e=0.0000, Fr=-0.2619, Fs=-0.7961, reward=-10.120
[t=732000.0s] a=7885, e=0.0892, goal_e=0.0000, Fr=0.0288, Fs=0.2215, reward=-0.122
[t=744000.0s] a=7896, e=0.0874, goal_e=0.0000, Fr=-0.4808, Fs=-0.5851, reward=-0.124
[t=756000.0s] a=7904, e=0.0862, goal_e=0.0000, Fr=0.0472, Fs=-1.0000, reward=-10.126
[t=768000.0s] a=7914, e=0.0848, goal_e=0.0000, Fr=-0.7426, Fs=-0.7136, reward=-0.128
[t=780000.0s] a=7927, e=0.0829, goal_e=0.0000, Fr=-0.4425, Fs=-0.0793, reward=-0.130
[t=792000.0s] a=7934, e=0.0807, goal_e=0.0000, Fr=0.3430, Fs=1.0000, reward=-0.132
[t=804000.0s] a=7942, e=0.0792, goal_e=0.0000, Fr=0.0884, Fs=-1.0000, reward=-10.134
[t=816000.0s] a=7945, e=0.0762, goal_e=0.0000, Fr=1.0000, Fs=0.5765, reward=-10.136
[t=828000.0s] a=7950, e=0.0753, goal_e=0.0000, Fr=-0.9359, Fs=1.0000, reward=-10.138
[t=840000.0s] a=7952, e=0.0731, goal_e=0.0000, Fr=-1.0000, Fs=-0.1933, reward=-0.140
[t=852000.0s] a=7944, e=0.0707, goal_e=0.0000, Fr=0.6994, Fs=1.0000, reward=-0.142
[t=864000.0s] a=7955, e=0.0684, goal_e=0.0000, Fr=-0.3087, Fs=-0.7622, reward=-1178.973
 FAILURE #5 of #5 episodes

 ------------------------------------------------- 
[t=12000.0s] a=7508, e=0.0929, goal_e=0.2000, Fr=0.6977, Fs=1.0000, reward=493.188
[t=24000.0s] a=7516, e=0.0900, goal_e=0.2000, Fr=0.4188, Fs=0.6032, reward=473.724
[t=36000.0s] a=7526, e=0.0872, goal_e=0.2000, Fr=-1.0000, Fs=-0.7784, reward=443.064
[t=48000.0s] a=7549, e=0.0842, goal_e=0.2000, Fr=-1.0000, Fs=-0.1431, reward=311.036
[t=60000.0s] a=7566, e=0.0810, goal_e=0.2000, Fr=-0.4439, Fs=0.7559, reward=210.388
[t=72000.0s] a=7579, e=0.0785, goal_e=0.2000, Fr=-1.0000, Fs=-1.0000, reward=131.967
[t=84000.0s] a=7602, e=0.0760, goal_e=0.2000, Fr=-0.9814, Fs=0.3544, reward=66.863
[t=96000.0s] a=7616, e=0.0727, goal_e=0.2000, Fr=0.5261, Fs=1.0000, reward=24.195
[t=108000.0s] a=7622, e=0.0704, goal_e=0.2000, Fr=-0.4957, Fs=-1.0000, reward=30.457
[t=120000.0s] a=7638, e=0.0658, goal_e=0.2000, Fr=0.1547, Fs=1.0000, reward=11.137
[t=132000.0s] a=7656, e=0.0621, goal_e=0.2000, Fr=-1.0000, Fs=0.0491, reward=3.727
[t=144000.0s] a=7669, e=0.0589, goal_e=0.2000, Fr=-0.0013, Fs=-0.9886, reward=-8.378
[t=156000.0s] a=7686, e=0.0566, goal_e=0.2000, Fr=0.6797, Fs=1.0000, reward=-9.545
