
 ------------------------------------------------- 
[t=588000.0s] a=8188.99, goal=8103.80, Fs=-1.0000, reward=-299.519
[t=600000.0s] a=8210.93, goal=8103.80, Fs=-0.3858, reward=-307.713
[t=612000.0s] a=8224.95, goal=8103.80, Fs=-0.9337, reward=-315.115
[t=624000.0s] a=8233.85, goal=8103.80, Fs=0.4900, reward=-329.005
[t=636000.0s] a=8248.09, goal=8103.80, Fs=0.4946, reward=-336.429
[t=648000.0s] a=8261.40, goal=8103.80, Fs=-1.0000, reward=-336.760
[t=660000.0s] a=8262.61, goal=8103.80, Fs=-1.0000, reward=-342.881
[t=672000.0s] a=8262.24, goal=8103.80, Fs=-0.5019, reward=-348.844
[t=684000.0s] a=8278.00, goal=8103.80, Fs=-0.1765, reward=-356.420
[t=696000.0s] a=8279.35, goal=8103.80, Fs=0.1034, reward=-369.556
[t=708000.0s] a=8293.22, goal=8103.80, Fs=0.1317, reward=-376.942
[t=720000.0s] a=8302.73, goal=8103.80, Fs=-0.4644, reward=-376.893
[t=732000.0s] a=8311.74, goal=8103.80, Fs=-0.7406, reward=-383.794
[t=744000.0s] a=8323.73, goal=8103.80, Fs=0.9509, reward=-447.993
[t=756000.0s] a=8327.49, goal=8103.80, Fs=0.7730, reward=-454.369
[t=768000.0s] a=8330.70, goal=8103.80, Fs=-1.0000, reward=-403.690
[t=780000.0s] a=8344.38, goal=8103.80, Fs=1.0000, reward=-468.059
[t=792000.0s] a=8367.30, goal=8103.80, Fs=0.6146, reward=-476.350
[t=804000.0s] a=8370.89, goal=8103.80, Fs=-0.1747, reward=-425.709
[t=816000.0s] a=8374.16, goal=8103.80, Fs=0.0198, reward=-489.036
[t=828000.0s] a=8383.53, goal=8103.80, Fs=-0.0139, reward=-438.973
[t=840000.0s] a=8384.49, goal=8103.80, Fs=-1.0000, reward=-445.069
[t=852000.0s] a=8398.75, goal=8103.80, Fs=0.1322, reward=-509.495
[t=864000.0s] a=8410.49, goal=8103.80, Fs=-0.6107, reward=-459.669
 FAILURE #2 of #3 episodes

 ------------------------------------------------- 
[t=12000.0s] a=7600.44, goal=7876.48, Fs=1.0000, reward=-30.604
[t=24000.0s] a=7628.73, goal=7876.48, Fs=0.9080, reward=-33.775
[t=36000.0s] a=7652.45, goal=7876.48, Fs=0.6071, reward=-37.403
[t=48000.0s] a=7678.24, goal=7876.48, Fs=1.0000, reward=-40.824
[t=60000.0s] a=7692.71, goal=7876.48, Fs=1.0000, reward=-45.377
[t=72000.0s] a=7709.62, goal=7876.48, Fs=-0.7213, reward=-56.686
[t=84000.0s] a=7714.13, goal=7876.48, Fs=0.6126, reward=-55.235
[t=96000.0s] a=7732.72, goal=7876.48, Fs=-0.2368, reward=-66.376
[t=108000.0s] a=7743.15, goal=7876.48, Fs=-1.0000, reward=-71.333
[t=120000.0s] a=7763.37, goal=7876.48, Fs=-1.0000, reward=-75.311
[t=132000.0s] a=7791.26, goal=7876.48, Fs=0.4838, reward=-71.522
[t=144000.0s] a=7805.25, goal=7876.48, Fs=-0.4244, reward=-83.123
[t=156000.0s] a=7817.73, goal=7876.48, Fs=-0.6962, reward=-87.875
[t=168000.0s] a=7826.49, goal=7876.48, Fs=0.7688, reward=-85.999
[t=180000.0s] a=7838.84, goal=7876.48, Fs=0.0057, reward=-90.764
[t=192000.0s] a=7846.55, goal=7876.48, Fs=-0.3834, reward=-102.993
[t=204000.0s] a=7859.88, goal=7876.48, Fs=0.8880, reward=-100.660
[t=216000.0s] a=7870.64, goal=7876.48, Fs=1.0000, reward=-92.584
 SUCCESS #2 of #4 episodes

 ------------------------------------------------- 
[t=12000.0s] a=8431.36, goal=8167.35, Fs=-1.0000, reward=-29.401
[t=24000.0s] a=8432.91, goal=8167.35, Fs=-0.5502, reward=-35.556
[t=36000.0s] a=8420.19, goal=8167.35, Fs=-1.0000, reward=-40.284
[t=48000.0s] a=8400.98, goal=8167.35, Fs=1.0000, reward=-101.364
[t=60000.0s] a=8403.01, goal=8167.35, Fs=-1.0000, reward=-50.566
[t=72000.0s] a=8403.04, goal=8167.35, Fs=-1.0000, reward=-56.569
[t=84000.0s] a=8391.25, goal=8167.35, Fs=0.6053, reward=-118.390
[t=96000.0s] a=8381.57, goal=8167.35, Fs=0.0571, reward=-123.422
[t=108000.0s] a=8369.28, goal=8167.35, Fs=-0.1766, reward=-71.193
[t=120000.0s] a=8365.37, goal=8167.35, Fs=1.0000, reward=-83.802
[t=132000.0s] a=8367.46, goal=8167.35, Fs=0.0677, reward=-140.011
[t=144000.0s] a=8359.81, goal=8167.35, Fs=-0.3516, reward=-88.246
[t=156000.0s] a=8346.07, goal=8167.35, Fs=-0.2103, reward=-92.872
[t=168000.0s] a=8336.11, goal=8167.35, Fs=-0.4718, reward=-97.876
[t=180000.0s] a=8329.00, goal=8167.35, Fs=-0.6825, reward=-103.165
[t=192000.0s] a=8307.81, goal=8167.35, Fs=-1.0000, reward=-107.046
[t=204000.0s] a=8294.68, goal=8167.35, Fs=-0.3146, reward=-111.733
[t=216000.0s] a=8278.31, goal=8167.35, Fs=-1.0000, reward=-116.096
[t=228000.0s] a=8258.06, goal=8167.35, Fs=-0.5261, reward=-120.071
[t=240000.0s] a=8245.66, goal=8167.35, Fs=-0.8944, reward=-124.831
[t=252000.0s] a=8221.35, goal=8167.35, Fs=-0.5576, reward=-128.400
[t=264000.0s] a=8199.61, goal=8167.35, Fs=-0.7712, reward=-132.227
[t=276000.0s] a=8198.21, goal=8167.35, Fs=-0.0272, reward=-138.087
[t=288000.0s] a=8172.44, goal=8167.35, Fs=-0.3590, reward=-148.509
 SUCCESS #3 of #5 episodes

 ------------------------------------------------- 
[t=12000.0s] a=7594.59, goal=7928.22, Fs=0.9571, reward=-36.362
[t=24000.0s] a=7598.28, goal=7928.22, Fs=-1.0000, reward=-98.994
[t=36000.0s] a=7612.52, goal=7928.22, Fs=-0.3545, reward=-103.569
[t=48000.0s] a=7611.31, goal=7928.22, Fs=0.1898, reward=-52.690
[t=60000.0s] a=7610.93, goal=7928.22, Fs=-0.1299, reward=-115.728
[t=72000.0s] a=7615.88, goal=7928.22, Fs=1.0000, reward=-64.234
[t=84000.0s] a=7623.41, goal=7928.22, Fs=1.0000, reward=-69.481
[t=96000.0s] a=7631.09, goal=7928.22, Fs=-1.0000, reward=-131.712
[t=108000.0s] a=7648.13, goal=7928.22, Fs=1.0000, reward=-79.008
[t=120000.0s] a=7660.26, goal=7928.22, Fs=0.2522, reward=-83.795
[t=132000.0s] a=7678.77, goal=7928.22, Fs=0.5351, reward=-87.944
[t=144000.0s] a=7708.46, goal=7928.22, Fs=1.0000, reward=-90.975
[t=156000.0s] a=7732.87, goal=7928.22, Fs=-0.1487, reward=-101.535
[t=168000.0s] a=7765.42, goal=7928.22, Fs=1.0000, reward=-97.279
[t=180000.0s] a=7790.98, goal=7928.22, Fs=0.3270, reward=-100.724
[t=192000.0s] a=7820.03, goal=7928.22, Fs=0.7322, reward=-103.818
[t=204000.0s] a=7861.44, goal=7928.22, Fs=-1.0000, reward=-112.678
[t=216000.0s] a=7892.94, goal=7928.22, Fs=0.0762, reward=-108.528
[t=228000.0s] a=7921.75, goal=7928.22, Fs=-0.2085, reward=-105.647
 SUCCESS #4 of #6 episodes

 ------------------------------------------------- 
[t=12000.0s] a=8456.45, goal=8230.68, Fs=0.6845, reward=-82.576
[t=24000.0s] a=8467.42, goal=8230.68, Fs=-0.3351, reward=-32.673
[t=36000.0s] a=8465.89, goal=8230.68, Fs=1.0000, reward=-95.521
[t=48000.0s] a=8467.51, goal=8230.68, Fs=-0.3108, reward=-44.682
[t=60000.0s] a=8465.73, goal=8230.68, Fs=-0.6935, reward=-50.505
[t=72000.0s] a=8448.92, goal=8230.68, Fs=-0.5381, reward=-54.824
[t=84000.0s] a=8447.92, goal=8230.68, Fs=-0.4921, reward=-60.724
[t=96000.0s] a=8422.13, goal=8230.68, Fs=0.1073, reward=-71.145
[t=108000.0s] a=8408.67, goal=8230.68, Fs=-0.8418, reward=-68.799
[t=120000.0s] a=8389.27, goal=8230.68, Fs=-0.9096, reward=-72.859
[t=132000.0s] a=8358.93, goal=8230.68, Fs=-0.6139, reward=-75.824
[t=144000.0s] a=8331.78, goal=8230.68, Fs=0.1989, reward=-86.110
[t=156000.0s] a=8284.48, goal=8230.68, Fs=0.8648, reward=-87.380
[t=168000.0s] a=8250.93, goal=8230.68, Fs=-1.0000, reward=-83.025
[t=180000.0s] a=8220.50, goal=8230.68, Fs=-1.0000, reward=-95.018
[t=192000.0s] a=8181.41, goal=8230.68, Fs=-0.4323, reward=-104.928
[t=204000.0s] a=8149.49, goal=8230.68, Fs=0.9213, reward=-107.119
[t=216000.0s] a=8122.81, goal=8230.68, Fs=-0.4005, reward=-122.787
[t=228000.0s] a=8106.32, goal=8230.68, Fs=0.4487, reward=-123.436
[t=240000.0s] a=8098.43, goal=8230.68, Fs=1.0000, reward=-130.225
[t=252000.0s] a=8097.22, goal=8230.68, Fs=-1.0000, reward=-143.347
[t=264000.0s] a=8087.65, goal=8230.68, Fs=-1.0000, reward=-150.303
[t=276000.0s] a=8076.04, goal=8230.68, Fs=0.3852, reward=-150.464
[t=288000.0s] a=8077.06, goal=8230.68, Fs=0.6128, reward=-156.362
[t=300000.0s] a=8080.12, goal=8230.68, Fs=1.0000, reward=-162.056
[t=312000.0s] a=8086.50, goal=8230.68, Fs=-0.2444, reward=-174.418
[t=324000.0s] a=8099.06, goal=8230.68, Fs=0.7809, reward=-172.162
[t=336000.0s] a=8088.17, goal=8230.68, Fs=-1.0000, reward=-186.251
[t=348000.0s] a=8096.60, goal=8230.68, Fs=1.0000, reward=-184.408
[t=360000.0s] a=8106.08, goal=8230.68, Fs=0.6687, reward=-189.460
