
 ------------------------------------------------- 
[t=864000.0s] a=7771.01, goal=7828.19, Fs=0.6551, reward=-722.719
 FAILURE #3 of #6 episodes

 ------------------------------------------------- 
[t=12000.0s] a=8313.58, goal=8048.46, Fs=-1.0000, reward=-33.512
[t=24000.0s] a=8270.60, goal=8048.46, Fs=-0.1149, reward=-39.214
[t=36000.0s] a=8246.31, goal=8048.46, Fs=-0.3379, reward=-46.785
[t=48000.0s] a=8219.25, goal=8048.46, Fs=-0.9340, reward=-54.079
[t=60000.0s] a=8211.92, goal=8048.46, Fs=0.1853, reward=-70.346
[t=72000.0s] a=8186.77, goal=8048.46, Fs=-0.9503, reward=-70.832
[t=84000.0s] a=8165.94, goal=8048.46, Fs=0.4783, reward=-85.749
[t=96000.0s] a=8152.07, goal=8048.46, Fs=-0.2460, reward=-87.362
[t=108000.0s] a=8122.49, goal=8048.46, Fs=1.0000, reward=-101.403
[t=120000.0s] a=8123.49, goal=8048.46, Fs=0.6194, reward=-111.504
[t=132000.0s] a=8108.56, goal=8048.46, Fs=0.7088, reward=-120.011
[t=144000.0s] a=8086.06, goal=8048.46, Fs=-1.0000, reward=-120.761
[t=156000.0s] a=8076.95, goal=8048.46, Fs=1.0000, reward=-136.849
[t=168000.0s] a=8059.98, goal=8048.46, Fs=0.9615, reward=-145.152
 SUCCESS #4 of #7 episodes

 ------------------------------------------------- 
[t=12000.0s] a=7615.86, goal=7937.80, Fs=0.2912, reward=-39.194
[t=24000.0s] a=7636.24, goal=7937.80, Fs=-0.0204, reward=-104.156
[t=36000.0s] a=7654.66, goal=7937.80, Fs=0.2871, reward=-55.314
[t=48000.0s] a=7666.92, goal=7937.80, Fs=0.2580, reward=-64.088
[t=60000.0s] a=7693.84, goal=7937.80, Fs=1.0000, reward=-71.396
[t=72000.0s] a=7707.40, goal=7937.80, Fs=0.2050, reward=-80.040
[t=84000.0s] a=7718.39, goal=7937.80, Fs=-1.0000, reward=-145.941
[t=96000.0s] a=7732.92, goal=7937.80, Fs=1.0000, reward=-97.488
[t=108000.0s] a=7751.20, goal=7937.80, Fs=-0.9396, reward=-112.660
[t=120000.0s] a=7761.62, goal=7937.80, Fs=1.0000, reward=-114.617
[t=132000.0s] a=7772.53, goal=7937.80, Fs=-1.0000, reward=-130.526
[t=144000.0s] a=7790.88, goal=7937.80, Fs=-0.0628, reward=-138.691
[t=156000.0s] a=7802.27, goal=7937.80, Fs=0.2154, reward=-140.553
[t=168000.0s] a=7808.38, goal=7937.80, Fs=1.0000, reward=-149.942
[t=180000.0s] a=7810.91, goal=7937.80, Fs=-1.0000, reward=-166.689
[t=192000.0s] a=7826.24, goal=7937.80, Fs=-1.0000, reward=-175.156
[t=204000.0s] a=7839.03, goal=7937.80, Fs=-0.8542, reward=-183.876
[t=216000.0s] a=7846.65, goal=7937.80, Fs=-0.8988, reward=-193.115
[t=228000.0s] a=7854.24, goal=7937.80, Fs=0.9584, reward=-195.356
[t=240000.0s] a=7863.73, goal=7937.80, Fs=-1.0000, reward=-211.407
[t=252000.0s] a=7858.77, goal=7937.80, Fs=0.8253, reward=-214.903
[t=264000.0s] a=7889.36, goal=7937.80, Fs=1.0000, reward=-221.844
[t=276000.0s] a=7890.23, goal=7937.80, Fs=-0.7310, reward=-238.757
[t=288000.0s] a=7890.59, goal=7937.80, Fs=-0.9786, reward=-248.720
[t=300000.0s] a=7892.02, goal=7937.80, Fs=0.3733, reward=-251.578
[t=312000.0s] a=7895.70, goal=7937.80, Fs=-0.3479, reward=-268.209
[t=324000.0s] a=7887.83, goal=7937.80, Fs=-1.0000, reward=-278.997
[t=336000.0s] a=7886.86, goal=7937.80, Fs=-0.2112, reward=-289.094
[t=348000.0s] a=7889.13, goal=7937.80, Fs=0.4545, reward=-291.866
[t=360000.0s] a=7901.65, goal=7937.80, Fs=1.0000, reward=-300.615
[t=372000.0s] a=7907.05, goal=7937.80, Fs=1.0000, reward=-310.075
[t=384000.0s] a=7904.90, goal=7937.80, Fs=0.7406, reward=-320.290
[t=396000.0s] a=7908.83, goal=7937.80, Fs=0.3076, reward=-329.897
[t=408000.0s] a=7913.95, goal=7937.80, Fs=-0.0076, reward=-346.385
[t=420000.0s] a=7912.24, goal=7937.80, Fs=1.0000, reward=-349.556
[t=432000.0s] a=7914.74, goal=7937.80, Fs=0.5262, reward=-359.306
[t=444000.0s] a=7914.01, goal=7937.80, Fs=0.2894, reward=-369.379
[t=456000.0s] a=7910.57, goal=7937.80, Fs=-0.0312, reward=-386.723
[t=468000.0s] a=7905.49, goal=7937.80, Fs=0.9131, reward=-390.231
[t=480000.0s] a=7898.66, goal=7937.80, Fs=-0.3654, reward=-407.913
[t=492000.0s] a=7905.93, goal=7937.80, Fs=0.4431, reward=-410.187
[t=504000.0s] a=7895.31, goal=7937.80, Fs=-1.0000, reward=-428.249
[t=516000.0s] a=7888.85, goal=7937.80, Fs=-0.5364, reward=-438.895
[t=528000.0s] a=7895.46, goal=7937.80, Fs=1.0000, reward=-441.234
[t=540000.0s] a=7898.61, goal=7937.80, Fs=-0.8176, reward=-457.919
[t=552000.0s] a=7895.57, goal=7937.80, Fs=-0.5648, reward=-468.223
[t=564000.0s] a=7895.46, goal=7937.80, Fs=0.7715, reward=-471.234
[t=576000.0s] a=7898.27, goal=7937.80, Fs=-1.0000, reward=-487.953
[t=588000.0s] a=7893.90, goal=7937.80, Fs=1.0000, reward=-491.389
[t=600000.0s] a=7891.70, goal=7937.80, Fs=-0.0635, reward=-508.610
[t=612000.0s] a=7888.57, goal=7937.80, Fs=-1.0000, reward=-518.923
[t=624000.0s] a=7886.37, goal=7937.80, Fs=-0.0266, reward=-529.143
[t=636000.0s] a=7880.66, goal=7937.80, Fs=0.3006, reward=-532.714
[t=648000.0s] a=7871.90, goal=7937.80, Fs=0.8685, reward=-543.589
[t=660000.0s] a=7880.19, goal=7937.80, Fs=-0.5762, reward=-559.761
[t=672000.0s] a=7879.90, goal=7937.80, Fs=0.2853, reward=-562.790
[t=684000.0s] a=7894.21, goal=7937.80, Fs=1.0000, reward=-571.358
[t=696000.0s] a=7887.84, goal=7937.80, Fs=0.1444, reward=-581.996
[t=708000.0s] a=7878.57, goal=7937.80, Fs=-1.0000, reward=-599.923
[t=720000.0s] a=7871.79, goal=7937.80, Fs=-1.0000, reward=-610.601
[t=732000.0s] a=7870.80, goal=7937.80, Fs=1.0000, reward=-613.700
[t=744000.0s] a=7884.89, goal=7937.80, Fs=0.2906, reward=-622.291
[t=756000.0s] a=7877.45, goal=7937.80, Fs=-0.5654, reward=-640.035
[t=768000.0s] a=7875.79, goal=7937.80, Fs=-0.3969, reward=-650.201
[t=780000.0s] a=7876.71, goal=7937.80, Fs=0.5108, reward=-653.109
[t=792000.0s] a=7883.55, goal=7937.80, Fs=-0.3211, reward=-669.425
