
 ------------------------------------------------- 
[t=372000.0s] a=7720.32, goal=7909.65, Fs=0.0465, reward=-78.630
[t=384000.0s] a=7724.77, goal=7909.65, Fs=0.0173, reward=-79.746
[t=396000.0s] a=7729.70, goal=7909.65, Fs=0.0507, reward=-81.754
[t=408000.0s] a=7734.42, goal=7909.65, Fs=0.0709, reward=-83.586
[t=420000.0s] a=7738.98, goal=7909.65, Fs=0.0488, reward=-84.798
[t=432000.0s] a=7743.73, goal=7909.65, Fs=0.0402, reward=-86.194
[t=444000.0s] a=7748.31, goal=7909.65, Fs=0.0390, reward=-87.718
[t=456000.0s] a=7752.92, goal=7909.65, Fs=0.0488, reward=-89.404
[t=468000.0s] a=7757.49, goal=7909.65, Fs=0.0499, reward=-90.964
[t=480000.0s] a=7762.30, goal=7909.65, Fs=0.0431, reward=-92.381
[t=492000.0s] a=7767.20, goal=7909.65, Fs=0.0650, reward=-94.219
[t=504000.0s] a=7771.69, goal=7909.65, Fs=0.0256, reward=-95.179
[t=516000.0s] a=7776.00, goal=7909.65, Fs=0.0165, reward=-96.612
[t=528000.0s] a=7780.47, goal=7909.65, Fs=0.0303, reward=-98.372
[t=540000.0s] a=7784.91, goal=7909.65, Fs=0.0272, reward=-99.881
[t=552000.0s] a=7789.21, goal=7909.65, Fs=0.0676, reward=-102.058
[t=564000.0s] a=7793.28, goal=7909.65, Fs=-0.0075, reward=-109.749
[t=576000.0s] a=7797.18, goal=7909.65, Fs=-0.0002, reward=-111.250
[t=588000.0s] a=7801.52, goal=7909.65, Fs=0.0405, reward=-106.420
[t=600000.0s] a=7805.45, goal=7909.65, Fs=0.0542, reward=-108.233
[t=612000.0s] a=7809.89, goal=7909.65, Fs=0.0527, reward=-109.766
[t=624000.0s] a=7814.04, goal=7909.65, Fs=0.0389, reward=-111.143
[t=636000.0s] a=7818.36, goal=7909.65, Fs=0.0573, reward=-112.988
[t=648000.0s] a=7822.37, goal=7909.65, Fs=0.0250, reward=-114.102
[t=660000.0s] a=7826.39, goal=7909.65, Fs=0.0398, reward=-115.923
[t=672000.0s] a=7830.77, goal=7909.65, Fs=0.0494, reward=-117.628
[t=684000.0s] a=7834.97, goal=7909.65, Fs=0.0285, reward=-118.896
[t=696000.0s] a=7838.92, goal=7909.65, Fs=0.0575, reward=-120.936
[t=708000.0s] a=7842.86, goal=7909.65, Fs=0.0709, reward=-122.743
[t=720000.0s] a=7846.84, goal=7909.65, Fs=0.0065, reward=-123.378
[t=732000.0s] a=7850.65, goal=7909.65, Fs=0.0496, reward=-125.644
[t=744000.0s] a=7854.85, goal=7909.65, Fs=0.0331, reward=-126.977
[t=756000.0s] a=7858.63, goal=7909.65, Fs=0.0240, reward=-128.462
[t=768000.0s] a=7862.22, goal=7909.65, Fs=0.0548, reward=-130.565
[t=780000.0s] a=7865.97, goal=7909.65, Fs=0.0332, reward=-131.867
[t=792000.0s] a=7869.76, goal=7909.65, Fs=0.0090, reward=-133.124
[t=804000.0s] a=7873.54, goal=7909.65, Fs=0.0020, reward=-134.640
