
 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 
[t=420000.0s] a=8500, e=0.0100, i=49.08deg, goal_i=34.99deg, Fw=-0.5839, reward=71.070
[t=432000.0s] a=8500, e=0.0100, i=49.11deg, goal_i=34.99deg, Fw=-0.1810, reward=-373.709
[t=444000.0s] a=8500, e=0.0100, i=49.16deg, goal_i=34.99deg, Fw=1.0000, reward=-379.157
[t=456000.0s] a=8500, e=0.0100, i=49.22deg, goal_i=34.99deg, Fw=0.8518, reward=68.266
[t=468000.0s] a=8500, e=0.0100, i=49.24deg, goal_i=34.99deg, Fw=0.2794, reward=-377.786
[t=480000.0s] a=8500, e=0.0100, i=49.31deg, goal_i=34.99deg, Fw=-0.1021, reward=-378.782
[t=492000.0s] a=8500, e=0.0100, i=49.35deg, goal_i=34.99deg, Fw=1.0000, reward=-384.422
[t=504000.0s] a=8500, e=0.0100, i=49.40deg, goal_i=34.99deg, Fw=0.4875, reward=-131.783
[t=516000.0s] a=8500, e=0.0100, i=49.46deg, goal_i=34.99deg, Fw=1.0000, reward=-134.907
[t=528000.0s] a=8500, e=0.0100, i=49.46deg, goal_i=34.99deg, Fw=0.5248, reward=-385.081
[t=540000.0s] a=8500, e=0.0100, i=49.52deg, goal_i=34.99deg, Fw=-1.0000, reward=-389.272
[t=552000.0s] a=8500, e=0.0100, i=49.54deg, goal_i=34.99deg, Fw=0.8774, reward=-389.124
[t=564000.0s] a=8500, e=0.0100, i=49.59deg, goal_i=34.99deg, Fw=-0.0757, reward=-386.480
[t=576000.0s] a=8500, e=0.0100, i=49.65deg, goal_i=34.99deg, Fw=1.0000, reward=-392.759
[t=588000.0s] a=8500, e=0.0100, i=49.69deg, goal_i=34.99deg, Fw=-1.0000, reward=-393.833
[t=600000.0s] a=8500, e=0.0100, i=49.73deg, goal_i=34.99deg, Fw=0.4897, reward=-392.346
[t=612000.0s] a=8500, e=0.0100, i=49.78deg, goal_i=34.99deg, Fw=0.9531, reward=62.069
[t=624000.0s] a=8500, e=0.0100, i=49.80deg, goal_i=34.99deg, Fw=-0.6712, reward=63.229
[t=636000.0s] a=8500, e=0.0100, i=49.86deg, goal_i=34.99deg, Fw=0.6253, reward=62.925
[t=648000.0s] a=8500, e=0.0100, i=49.90deg, goal_i=34.99deg, Fw=1.0000, reward=-399.745
[t=660000.0s] a=8500, e=0.0100, i=49.91deg, goal_i=34.99deg, Fw=0.4628, reward=-136.812
[t=672000.0s] a=8500, e=0.0100, i=49.95deg, goal_i=34.99deg, Fw=-0.9347, reward=-400.570
[t=684000.0s] a=8500, e=0.0100, i=49.99deg, goal_i=34.99deg, Fw=1.0000, reward=-402.166
[t=696000.0s] a=8500, e=0.0100, i=49.99deg, goal_i=34.99deg, Fw=0.8697, reward=60.396
[t=708000.0s] a=8500, e=0.0100, i=50.02deg, goal_i=34.99deg, Fw=-0.4631, reward=62.094
[t=720000.0s] a=8500, e=0.0100, i=50.05deg, goal_i=34.99deg, Fw=0.0798, reward=-136.254
[t=732000.0s] a=8500, e=0.0100, i=50.06deg, goal_i=34.99deg, Fw=0.3750, reward=-400.889
[t=744000.0s] a=8500, e=0.0100, i=50.07deg, goal_i=34.99deg, Fw=-0.6022, reward=-402.422
[t=756000.0s] a=8500, e=0.0100, i=50.08deg, goal_i=34.99deg, Fw=0.1535, reward=-400.405
[t=768000.0s] a=8500, e=0.0100, i=50.11deg, goal_i=34.99deg, Fw=1.0000, reward=58.524
[t=780000.0s] a=8500, e=0.0100, i=50.15deg, goal_i=34.99deg, Fw=-0.1547, reward=-137.632
[t=792000.0s] a=8500, e=0.0100, i=50.16deg, goal_i=34.99deg, Fw=-1.0000, reward=-406.718
[t=804000.0s] a=8500, e=0.0100, i=50.21deg, goal_i=34.99deg, Fw=0.7532, reward=-406.732
[t=816000.0s] a=8500, e=0.0100, i=50.23deg, goal_i=34.99deg, Fw=-0.1088, reward=-404.045
[t=828000.0s] a=8500, e=0.0100, i=50.24deg, goal_i=34.99deg, Fw=0.0425, reward=-137.954
[t=840000.0s] a=8500, e=0.0100, i=50.25deg, goal_i=34.99deg, Fw=-1.0000, reward=57.230
[t=852000.0s] a=8500, e=0.0100, i=50.30deg, goal_i=34.99deg, Fw=-0.3487, reward=-407.264
[t=864000.0s] a=8500, e=0.0100, i=50.29deg, goal_i=34.99deg, Fw=-1.0000, reward=-908.252
 FAILURE #5 of #5 episodes

 ------------------------------------------------- 
[t=12000.0s] a=8500, e=0.0100, i=45.73deg, goal_i=36.45deg, Fw=0.6779, reward=126.635
[t=24000.0s] a=8500, e=0.0100, i=45.74deg, goal_i=36.45deg, Fw=-1.0000, reward=124.892
[t=36000.0s] a=8500, e=0.0100, i=45.70deg, goal_i=36.45deg, Fw=-0.1665, reward=-232.102
[t=48000.0s] a=8500, e=0.0100, i=45.69deg, goal_i=36.45deg, Fw=-0.9545, reward=-235.560
[t=60000.0s] a=8500, e=0.0100, i=45.68deg, goal_i=36.45deg, Fw=-0.8674, reward=126.209
[t=72000.0s] a=8500, e=0.0100, i=45.68deg, goal_i=36.45deg, Fw=-0.5379, reward=-233.368
[t=84000.0s] a=8500, e=0.0100, i=45.67deg, goal_i=36.45deg, Fw=0.1925, reward=-231.187
[t=96000.0s] a=8500, e=0.0100, i=45.66deg, goal_i=36.45deg, Fw=0.5563, reward=128.034
[t=108000.0s] a=8500, e=0.0100, i=45.63deg, goal_i=36.45deg, Fw=0.8063, reward=-233.227
[t=120000.0s] a=8500, e=0.0100, i=45.65deg, goal_i=36.45deg, Fw=1.0000, reward=125.925
