
 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 
[t=288000.0s] a=8500, e=0.0100, i=49.87deg, goal_i=43.53deg, Fw=-0.4858, reward=161.084
[t=300000.0s] a=8500, e=0.0100, i=49.85deg, goal_i=43.53deg, Fw=-0.5499, reward=-149.347
[t=312000.0s] a=8500, e=0.0100, i=49.84deg, goal_i=43.53deg, Fw=0.6345, reward=-149.709
[t=324000.0s] a=8500, e=0.0100, i=49.88deg, goal_i=43.53deg, Fw=-0.4484, reward=-149.798
[t=336000.0s] a=8500, e=0.0100, i=49.87deg, goal_i=43.53deg, Fw=0.3894, reward=-149.291
[t=348000.0s] a=8500, e=0.0100, i=49.88deg, goal_i=43.53deg, Fw=-0.1531, reward=-148.328
[t=360000.0s] a=8500, e=0.0100, i=49.85deg, goal_i=43.53deg, Fw=-0.0884, reward=-147.148
[t=372000.0s] a=8500, e=0.0100, i=49.87deg, goal_i=43.53deg, Fw=-1.0000, reward=158.485
[t=384000.0s] a=8500, e=0.0100, i=49.84deg, goal_i=43.53deg, Fw=-1.0000, reward=-151.410
[t=396000.0s] a=8500, e=0.0100, i=49.86deg, goal_i=43.53deg, Fw=0.3702, reward=-148.797
[t=408000.0s] a=8500, e=0.0100, i=49.90deg, goal_i=43.53deg, Fw=-1.0000, reward=-153.226
[t=420000.0s] a=8500, e=0.0100, i=49.89deg, goal_i=43.53deg, Fw=0.0584, reward=-147.979
[t=432000.0s] a=8500, e=0.0100, i=49.91deg, goal_i=43.53deg, Fw=1.0000, reward=158.006
[t=444000.0s] a=8500, e=0.0100, i=49.91deg, goal_i=43.53deg, Fw=-1.0000, reward=158.008
[t=456000.0s] a=8500, e=0.0100, i=49.90deg, goal_i=43.53deg, Fw=0.2782, reward=161.792
[t=468000.0s] a=8500, e=0.0100, i=49.87deg, goal_i=43.53deg, Fw=-1.0000, reward=158.466
[t=480000.0s] a=8500, e=0.0100, i=49.86deg, goal_i=43.53deg, Fw=0.7376, reward=159.857
[t=492000.0s] a=8500, e=0.0100, i=49.85deg, goal_i=43.53deg, Fw=0.8731, reward=-151.212
[t=504000.0s] a=8500, e=0.0100, i=49.89deg, goal_i=43.53deg, Fw=-1.0000, reward=-152.671
[t=516000.0s] a=8500, e=0.0100, i=49.88deg, goal_i=43.53deg, Fw=0.7583, reward=-40.428
[t=528000.0s] a=8500, e=0.0100, i=49.92deg, goal_i=43.53deg, Fw=-0.5423, reward=-39.777
[t=540000.0s] a=8500, e=0.0100, i=49.93deg, goal_i=43.53deg, Fw=0.4732, reward=160.436
[t=552000.0s] a=8500, e=0.0100, i=49.91deg, goal_i=43.53deg, Fw=-1.0000, reward=158.041
[t=564000.0s] a=8500, e=0.0100, i=49.91deg, goal_i=43.53deg, Fw=1.0000, reward=158.033
[t=576000.0s] a=8500, e=0.0100, i=49.88deg, goal_i=43.53deg, Fw=-1.0000, reward=158.282
[t=588000.0s] a=8500, e=0.0100, i=49.88deg, goal_i=43.53deg, Fw=-0.0343, reward=-147.727
[t=600000.0s] a=8500, e=0.0100, i=49.84deg, goal_i=43.53deg, Fw=-0.9273, reward=159.073
[t=612000.0s] a=8500, e=0.0100, i=49.83deg, goal_i=43.53deg, Fw=-0.2135, reward=-147.327
[t=624000.0s] a=8500, e=0.0100, i=49.86deg, goal_i=43.53deg, Fw=0.5034, reward=-149.565
[t=636000.0s] a=8500, e=0.0100, i=49.86deg, goal_i=43.53deg, Fw=-1.0000, reward=-152.122
