
 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 
[t=2640000.0s], i=40.58deg, goal_i=46.85deg, Fw=-0.5103, delta_i = 0.00022288403021142322, term = -8221.367549686209, reward=-102.657
[t=2760000.0s], i=40.09deg, goal_i=46.85deg, Fw=1.0000, delta_i = 0.0003344857273687163, term = 7641.218845673191, reward=-84.631
[t=2880000.0s], i=39.62deg, goal_i=46.85deg, Fw=-0.6630, delta_i = 5.8948975750094945e-05, term = -3696.549687486718, reward=-107.812
[t=3000000.0s], i=39.47deg, goal_i=46.85deg, Fw=0.9717, delta_i = -0.00021374533172191512, term = -2438.6827343887244, reward=-145.915
[t=3120000.0s], i=39.59deg, goal_i=46.85deg, Fw=1.0000, delta_i = 0.00040788305884220666, term = 7100.360406170726, reward=-95.116
[t=3240000.0s], i=39.78deg, goal_i=46.85deg, Fw=-1.0000, delta_i = 0.00040661301201516675, term = -8483.595945588859, reward=-95.371
[t=3360000.0s], i=39.75deg, goal_i=46.85deg, Fw=-1.0000, delta_i = -0.00019027055872611331, term = 5434.289944987978, reward=-147.939
[t=3480000.0s], i=39.31deg, goal_i=46.85deg, Fw=-1.0000, delta_i = -9.515782534463835e-05, term = -190.25243177433651, reward=-153.837
[t=3600000.0s], i=39.10deg, goal_i=46.85deg, Fw=-0.4988, delta_i = 0.00017746743328495018, term = -5598.374060689076, reward=-132.651
[t=3720000.0s], i=38.93deg, goal_i=46.85deg, Fw=-1.0000, delta_i = -0.00042854119772750554, term = 8345.086083413953, reward=-161.328
[t=3840000.0s], i=38.97deg, goal_i=46.85deg, Fw=-1.0000, delta_i = 0.00030721071920591925, term = -7296.1804059346805, reward=-112.619
[t=3960000.0s], i=38.91deg, goal_i=46.85deg, Fw=-0.4823, delta_i = -7.5868555517999425e-06, term = 2318.1515953634557, reward=-191.180
[t=4080000.0s], i=39.11deg, goal_i=46.85deg, Fw=1.0000, delta_i = 0.00026411346888044474, term = 3405.300702676894, reward=-115.403
[t=4200000.0s], i=39.23deg, goal_i=46.85deg, Fw=0.7280, delta_i = -0.0003119950340862987, term = -7756.065342750772, reward=-180.163
[t=4320000.0s], i=39.05deg, goal_i=46.85deg, Fw=-1.0000, delta_i = -0.00037251631678647534, term = 8103.81452285015, reward=-170.253
[t=4440000.0s], i=38.96deg, goal_i=46.85deg, Fw=-0.2326, delta_i = 3.5309979670605784e-05, term = -4805.783051486986, reward=-161.271
[t=4560000.0s], i=38.99deg, goal_i=46.85deg, Fw=-1.0000, delta_i = 0.0001615424310290603, term = -1198.7256861677402, reward=-124.511
[t=4680000.0s], i=39.06deg, goal_i=46.85deg, Fw=1.0000, delta_i = 0.00038013765603328586, term = 6266.794667731677, reward=-125.766
[t=4800000.0s], i=39.24deg, goal_i=46.85deg, Fw=-1.0000, delta_i = 0.00042663963981071085, term = -8561.552449355166, reward=-126.215
[t=4920000.0s], i=39.64deg, goal_i=46.85deg, Fw=1.0000, delta_i = 0.00024904720082719045, term = 6391.910966972792, reward=-124.725
[t=5040000.0s], i=39.79deg, goal_i=46.85deg, Fw=1.0000, delta_i = 2.8881479609665917e-05, term = -1491.8354003142347, reward=-125.446
[t=5160000.0s], i=39.62deg, goal_i=46.85deg, Fw=0.3795, delta_i = -0.00011949904328689698, term = -4589.900027435622, reward=-210.046
[t=5280000.0s], i=39.88deg, goal_i=46.85deg, Fw=-1.0000, delta_i = -0.0004299744665566818, term = 8074.50795770528, reward=-178.934
[t=5400000.0s], i=39.80deg, goal_i=46.85deg, Fw=-0.2403, delta_i = 8.379572473582453e-05, term = -7863.915185853974, reward=-169.381
[t=5520000.0s], i=39.58deg, goal_i=46.85deg, Fw=-0.7495, delta_i = -5.7034308622583296e-05, term = 3436.5647170932966, reward=-197.961
[t=5640000.0s], i=39.68deg, goal_i=46.85deg, Fw=-0.5368, delta_i = -0.00011302113067368502, term = 2215.1172558230846, reward=-209.709
[t=5760000.0s], i=39.78deg, goal_i=46.85deg, Fw=-1.0000, delta_i = 0.000412526142721803, term = -7181.269778884027, reward=-137.370
[t=5880000.0s], i=40.01deg, goal_i=46.85deg, Fw=-1.0000, delta_i = -0.00039848785814899923, term = 8347.88404743389, reward=-187.759
[t=6000000.0s], i=40.26deg, goal_i=46.85deg, Fw=-1.0000, delta_i = 0.00020693573868169057, term = -5737.753775768373, reward=-137.143
[t=6120000.0s], i=40.00deg, goal_i=46.85deg, Fw=-1.0000, delta_i = 0.00010418047142313203, term = -21.68376742619472, reward=-141.586
[t=6240000.0s], i=39.99deg, goal_i=46.85deg, Fw=-1.0000, delta_i = -0.00034862419482240004, term = 5425.833879918515, reward=-193.852
[t=6360000.0s], i=39.86deg, goal_i=46.85deg, Fw=-0.4814, delta_i = 0.00020980894368261005, term = -8454.095523854012, reward=-172.775
[t=6480000.0s], i=39.92deg, goal_i=46.85deg, Fw=0.4607, delta_i = 0.0001358071008886741, term = 7085.737295850904, reward=-175.256
[t=6600000.0s], i=40.33deg, goal_i=46.85deg, Fw=-1.0000, delta_i = 2.7543178138578206e-05, term = -2569.0092069366888, reward=-146.538
[t=6720000.0s], i=40.31deg, goal_i=46.85deg, Fw=-1.0000, delta_i = 0.0002709773024974771, term = -3572.8278326422997, reward=-148.650
[t=6840000.0s], i=40.35deg, goal_i=46.85deg, Fw=-1.0000, delta_i = -0.0004229187853489469, term = 7660.34769106989, reward=-200.625
[t=6960000.0s], i=40.39deg, goal_i=46.85deg, Fw=-1.0000, delta_i = 0.0003819980405942447, term = -8258.477140629677, reward=-151.826
[t=7080000.0s], i=40.63deg, goal_i=46.85deg, Fw=1.0000, delta_i = 0.00013558043458994362, term = 4501.676525545301, reward=-151.615
[t=7200000.0s], i=40.95deg, goal_i=46.85deg, Fw=1.0000, delta_i = 0.00015663972900159528, term = 1072.8655982427977, reward=-150.485
[t=7320000.0s], i=41.67deg, goal_i=46.85deg, Fw=-1.0000, delta_i = 0.00038999884245194405, term = -6508.446678172848, reward=-144.436
[t=7440000.0s], i=41.84deg, goal_i=46.85deg, Fw=-1.0000, delta_i = -0.0004170163877187383, term = 8434.024865503632, reward=-194.715
[t=7560000.0s], i=41.78deg, goal_i=46.85deg, Fw=-1.0000, delta_i = 0.00025865734060903645, term = -6567.310737759012, reward=-147.117
[t=7680000.0s], i=42.21deg, goal_i=46.85deg, Fw=0.2350, delta_i = -1.1232018096940521e-05, term = 1100.8085431851846, reward=-231.737
 FAILURE #5 of #6 episodes

 ------------------------------------------------- 
[t=120000.0s], i=44.91deg, goal_i=43.03deg, Fw=-1.0000, delta_i = 0.00034860939068437347, term = -7861.528210068417, reward=-0.266
[t=240000.0s], i=45.63deg, goal_i=43.03deg, Fw=-0.4002, delta_i = -3.239553809331053e-05, term = 3524.6518146031312, reward=-4.422
[t=360000.0s], i=45.61deg, goal_i=43.03deg, Fw=0.3893, delta_i = 8.11184759421657e-05, term = 2168.8699795358666, reward=-56.429
[t=480000.0s], i=45.88deg, goal_i=43.03deg, Fw=0.8872, delta_i = -0.00036487169239496353, term = -7142.994750693709, reward=8.743
[t=600000.0s], i=46.17deg, goal_i=43.03deg, Fw=-1.0000, delta_i = -0.0004004348419629489, term = 8364.336534435079, reward=4.716
[t=720000.0s], i=46.70deg, goal_i=43.03deg, Fw=-0.6685, delta_i = 0.0001420308703068418, term = -5828.205647949071, reward=-76.685
[t=840000.0s], i=46.77deg, goal_i=43.03deg, Fw=0.2053, delta_i = -2.0920624285714062e-05, term = 25.46867036118134, reward=-53.389
