
 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 
[t=1320000.0s], i=44.59deg, goal_i=46.90deg, Fw=-0.3420, delta_i = 1.4568861030128666e-05, term = -2849.3517313803513, reward=-201.919
[t=1440000.0s], i=44.42deg, goal_i=46.90deg, Fw=-1.0000, delta_i = 0.00025879955611252115, term = -3299.2914100104754, reward=-216.416
[t=1560000.0s], i=44.76deg, goal_i=46.90deg, Fw=-0.8161, delta_i = -0.0003426222950932978, term = 7524.728509598966, reward=-359.043
[t=1680000.0s], i=44.73deg, goal_i=46.90deg, Fw=-0.1678, delta_i = 6.545704149951703e-05, term = -8338.635401606904, reward=-189.568
[t=1800000.0s], i=44.47deg, goal_i=46.90deg, Fw=-0.8007, delta_i = -0.00012123897503379943, term = 4773.201108457919, reward=-273.719
[t=1920000.0s], i=44.16deg, goal_i=46.90deg, Fw=0.9295, delta_i = 0.00013219206863346322, term = 771.7297362865386, reward=-239.785
[t=2040000.0s], i=44.34deg, goal_i=46.90deg, Fw=-1.0000, delta_i = 0.0003816061320631725, term = -6278.174212347461, reward=-223.566
[t=2160000.0s], i=44.06deg, goal_i=46.90deg, Fw=0.3845, delta_i = 0.0001617377857294766, term = 8436.17370292094, reward=-247.809
[t=2280000.0s], i=44.28deg, goal_i=46.90deg, Fw=1.0000, delta_i = -0.00026931797346496644, term = -6730.292053661555, reward=-363.984
[t=2400000.0s], i=44.38deg, goal_i=46.90deg, Fw=-0.0211, delta_i = 6.997817592058198e-07, term = 1383.8581376957313, reward=-219.529
[t=2520000.0s], i=44.69deg, goal_i=46.90deg, Fw=1.0000, delta_i = 0.0003006940183617468, term = 4251.282543433432, reward=-193.245
 FAILURE #7 of #7 episodes

 ------------------------------------------------- 
[t=120000.0s], i=45.03deg, goal_i=44.15deg, Fw=0.7211, delta_i = -0.0002527955770667001, term = -7885.7077958896, reward=-76.380
[t=240000.0s], i=44.94deg, goal_i=44.15deg, Fw=0.8587, delta_i = 7.082799858604272e-05, term = 3554.552312654266, reward=-104.639
[t=360000.0s], i=45.14deg, goal_i=44.15deg, Fw=0.2447, delta_i = 4.9775529039841615e-05, term = 2062.2661507028606, reward=-111.499
[t=480000.0s], i=45.25deg, goal_i=44.15deg, Fw=1.0000, delta_i = -0.0004084253309235564, term = -7053.494890426353, reward=-95.484
[t=600000.0s], i=45.34deg, goal_i=44.15deg, Fw=0.2301, delta_i = 9.283595892661811e-05, term = 8385.189036233454, reward=-150.451
[t=720000.0s], i=45.44deg, goal_i=44.15deg, Fw=-0.1957, delta_i = 4.261786313808358e-05, term = -5914.467914777704, reward=-133.605
[t=840000.0s], i=45.91deg, goal_i=44.15deg, Fw=-0.7695, delta_i = 7.226065665721926e-05, term = 184.52524353662196, reward=-190.207
[t=960000.0s], i=46.11deg, goal_i=44.15deg, Fw=-0.5947, delta_i = -0.00020373186212974126, term = 5270.693084858785, reward=-171.280
[t=1080000.0s], i=46.11deg, goal_i=44.15deg, Fw=-1.0000, delta_i = 0.00043630974306563264, term = -8414.98842305359, reward=-389.723
[t=1200000.0s], i=46.24deg, goal_i=44.15deg, Fw=-0.0180, delta_i = -5.443422520290397e-06, term = 7205.046882737756, reward=-182.392
[t=1320000.0s], i=46.33deg, goal_i=44.15deg, Fw=0.4283, delta_i = -1.755242952117264e-05, term = -2817.9957511614234, reward=-189.996
[t=1440000.0s], i=46.30deg, goal_i=44.15deg, Fw=-1.0000, delta_i = 0.0002591434210421628, term = -3306.8995166920054, reward=-318.355
