
 ------------------------------------------------- 
[t=156000.0s] a=8265.71, goal=8152.69, Fs=0.7941, reward=-153.243
[t=168000.0s] a=8253.82, goal=8152.69, Fs=-0.5604, reward=-152.717
[t=180000.0s] a=8240.45, goal=8152.69, Fs=0.4862, reward=-167.638
[t=192000.0s] a=8225.59, goal=8152.69, Fs=-0.1037, reward=-165.328
[t=204000.0s] a=8207.16, goal=8152.69, Fs=-1.0000, reward=-182.447
[t=216000.0s] a=8197.60, goal=8152.69, Fs=-1.0000, reward=-191.491
[t=228000.0s] a=8181.64, goal=8152.69, Fs=-1.0000, reward=-199.895
[t=240000.0s] a=8160.05, goal=8152.69, Fs=0.0714, reward=-212.450
 SUCCESS #2 of #3 episodes

 ------------------------------------------------- 
[t=12000.0s] a=7652.17, goal=8016.62, Fs=0.5518, reward=-48.964
[t=24000.0s] a=7648.01, goal=8016.62, Fs=-0.4349, reward=-115.210
[t=36000.0s] a=7629.49, goal=8016.62, Fs=0.8706, reward=-74.419
[t=48000.0s] a=7625.34, goal=8016.62, Fs=-1.0000, reward=-143.128
[t=60000.0s] a=7624.51, goal=8016.62, Fs=0.3821, reward=-90.032
[t=72000.0s] a=7630.94, goal=8016.62, Fs=0.7298, reward=-102.866
[t=84000.0s] a=7632.02, goal=8016.62, Fs=-0.2475, reward=-164.935
[t=96000.0s] a=7636.02, goal=8016.62, Fs=0.7974, reward=-123.035
[t=108000.0s] a=7641.51, goal=8016.62, Fs=0.2545, reward=-127.056
[t=120000.0s] a=7635.60, goal=8016.62, Fs=-1.0000, reward=-202.102
[t=132000.0s] a=7646.65, goal=8016.62, Fs=-0.8832, reward=-209.829
[t=144000.0s] a=7640.16, goal=8016.62, Fs=0.0504, reward=-155.150
[t=156000.0s] a=7643.82, goal=8016.62, Fs=0.8259, reward=-172.540
[t=168000.0s] a=7644.64, goal=8016.62, Fs=-0.1909, reward=-233.107
[t=180000.0s] a=7655.57, goal=8016.62, Fs=-0.1759, reward=-241.865
[t=192000.0s] a=7655.78, goal=8016.62, Fs=1.0000, reward=-203.084
[t=204000.0s] a=7668.17, goal=8016.62, Fs=1.0000, reward=-211.845
[t=216000.0s] a=7669.35, goal=8016.62, Fs=-0.7259, reward=-275.986
[t=228000.0s] a=7665.29, goal=8016.62, Fs=-0.8990, reward=-288.124
[t=240000.0s] a=7663.86, goal=8016.62, Fs=-1.0000, reward=-299.277
[t=252000.0s] a=7654.89, goal=8016.62, Fs=-1.0000, reward=-310.173
[t=264000.0s] a=7660.49, goal=8016.62, Fs=1.0000, reward=-262.613
[t=276000.0s] a=7663.96, goal=8016.62, Fs=-0.4295, reward=-323.561
[t=288000.0s] a=7667.03, goal=8016.62, Fs=0.1252, reward=-273.211
[t=300000.0s] a=7671.42, goal=8016.62, Fs=0.3431, reward=-284.951
[t=312000.0s] a=7674.28, goal=8016.62, Fs=-1.0000, reward=-358.234
[t=324000.0s] a=7668.94, goal=8016.62, Fs=0.3497, reward=-305.265
[t=336000.0s] a=7676.60, goal=8016.62, Fs=-0.9389, reward=-377.391
[t=348000.0s] a=7686.29, goal=8016.62, Fs=1.0000, reward=-330.033
[t=360000.0s] a=7692.08, goal=8016.62, Fs=-0.1880, reward=-388.335
[t=372000.0s] a=7698.15, goal=8016.62, Fs=-0.3637, reward=-399.484
[t=384000.0s] a=7691.34, goal=8016.62, Fs=-1.0000, reward=-416.528
[t=396000.0s] a=7700.03, goal=8016.62, Fs=0.9348, reward=-368.008
[t=408000.0s] a=7696.51, goal=8016.62, Fs=0.3028, reward=-372.040
[t=420000.0s] a=7702.77, goal=8016.62, Fs=-0.1302, reward=-436.688
[t=432000.0s] a=7693.66, goal=8016.62, Fs=0.1199, reward=-390.495
[t=444000.0s] a=7694.82, goal=8016.62, Fs=-0.7772, reward=-463.952
[t=456000.0s] a=7691.35, goal=8016.62, Fs=1.0000, reward=-419.528
[t=468000.0s] a=7697.29, goal=8016.62, Fs=-1.0000, reward=-485.933
[t=480000.0s] a=7696.25, goal=8016.62, Fs=1.0000, reward=-439.037
[t=492000.0s] a=7701.53, goal=8016.62, Fs=0.4997, reward=-443.507
[t=504000.0s] a=7728.26, goal=8016.62, Fs=-1.0000, reward=-512.836
[t=516000.0s] a=7741.26, goal=8016.62, Fs=-0.4786, reward=-516.323
[t=528000.0s] a=7756.49, goal=8016.62, Fs=1.0000, reward=-473.014
[t=540000.0s] a=7780.02, goal=8016.62, Fs=-0.3980, reward=-531.641
[t=552000.0s] a=7801.03, goal=8016.62, Fs=-0.5866, reward=-541.426
[t=564000.0s] a=7801.21, goal=8016.62, Fs=-0.8370, reward=-553.911
[t=576000.0s] a=7806.79, goal=8016.62, Fs=-1.0000, reward=-564.983
[t=588000.0s] a=7820.71, goal=8016.62, Fs=0.4830, reward=-511.421
[t=600000.0s] a=7838.03, goal=8016.62, Fs=1.0000, reward=-524.860
[t=612000.0s] a=7838.34, goal=8016.62, Fs=1.0000, reward=-534.829
[t=624000.0s] a=7850.01, goal=8016.62, Fs=1.0000, reward=-543.662
[t=636000.0s] a=7851.53, goal=8016.62, Fs=1.0000, reward=-553.509
[t=648000.0s] a=7858.72, goal=8016.62, Fs=-0.0193, reward=-559.984
[t=660000.0s] a=7860.93, goal=8016.62, Fs=-0.4631, reward=-574.201
[t=672000.0s] a=7876.49, goal=8016.62, Fs=1.0000, reward=-581.013
[t=684000.0s] a=7883.54, goal=8016.62, Fs=-0.4899, reward=-592.207
[t=696000.0s] a=7885.53, goal=8016.62, Fs=-0.9269, reward=-606.378
[t=708000.0s] a=7881.90, goal=8016.62, Fs=-1.0000, reward=-617.472
[t=720000.0s] a=7894.57, goal=8016.62, Fs=1.0000, reward=-619.205
[t=732000.0s] a=7905.69, goal=8016.62, Fs=-0.1838, reward=-626.932
[t=744000.0s] a=7917.19, goal=8016.62, Fs=-0.6061, reward=-640.004
[t=756000.0s] a=7934.11, goal=8016.62, Fs=0.1139, reward=-636.390
[t=768000.0s] a=7940.44, goal=8016.62, Fs=-0.6811, reward=-658.429
[t=780000.0s] a=7945.90, goal=8016.62, Fs=-0.3044, reward=-664.116
[t=792000.0s] a=7938.06, goal=8016.62, Fs=1.0000, reward=-674.857
[t=804000.0s] a=7943.21, goal=8016.62, Fs=-1.0000, reward=-691.342
