
 ------------------------------------------------- 
[t=1236000.0s] a=26689, e=0.6821, i=3.9101, Fr=1.0000, Fs=1.0000, Fw=0.7832, reward=794.244
[t=1248000.0s] a=26719, e=0.6806, i=4.0109, Fr=0.3791, Fs=0.9198, Fw=0.1460, reward=516.531
[t=1260000.0s] a=26861, e=0.6813, i=4.0547, Fr=-0.0444, Fs=0.7074, Fw=1.0000, reward=843.361
[t=1272000.0s] a=26845, e=0.6802, i=4.0612, Fr=-0.7842, Fs=1.0000, Fw=1.0000, reward=921.309
[t=1284000.0s] a=26829, e=0.6783, i=4.1513, Fr=-1.0000, Fs=0.8156, Fw=0.9828, reward=773.079
[t=1296000.0s] a=26813, e=0.6762, i=4.2054, Fr=-0.1946, Fs=1.0000, Fw=-0.8512, reward=962.622
[t=1308000.0s] a=26858, e=0.6758, i=4.2289, Fr=1.0000, Fs=1.0000, Fw=1.0000, reward=995.619
[t=1320000.0s] a=26940, e=0.6758, i=4.2816, Fr=-0.3217, Fs=1.0000, Fw=1.0000, reward=892.910
[t=1332000.0s] a=26989, e=0.6746, i=4.3562, Fr=-0.1384, Fs=-0.1580, Fw=-1.0000, reward=561.186
[t=1344000.0s] a=27026, e=0.6734, i=4.4499, Fr=1.0000, Fs=1.0000, Fw=0.7271, reward=826.925
[t=1356000.0s] a=27035, e=0.6728, i=4.4605, Fr=0.0933, Fs=1.0000, Fw=0.0321, reward=513.616
[t=1368000.0s] a=27072, e=0.6715, i=4.5039, Fr=-1.0000, Fs=-0.3675, Fw=-1.0000, reward=560.508
[t=1380000.0s] a=27108, e=0.6700, i=4.5913, Fr=0.7233, Fs=0.2879, Fw=1.0000, reward=532.310
[t=1392000.0s] a=27119, e=0.6687, i=4.6396, Fr=1.0000, Fs=1.0000, Fw=1.0000, reward=995.210
[t=1404000.0s] a=27162, e=0.6684, i=4.6544, Fr=-0.7803, Fs=-0.2056, Fw=-0.2227, reward=121.668
[t=1416000.0s] a=27217, e=0.6673, i=4.7591, Fr=0.7623, Fs=0.3879, Fw=-1.0000, reward=756.070
[t=1428000.0s] a=27283, e=0.6662, i=4.8626, Fr=-0.1937, Fs=1.0000, Fw=-0.1463, reward=579.102
[t=1440000.0s] a=27417, e=0.6671, i=4.8831, Fr=-1.0000, Fs=0.4182, Fw=1.0000, reward=721.927
[t=1452000.0s] a=27405, e=0.6657, i=4.9232, Fr=-0.5191, Fs=1.0000, Fw=-0.7297, reward=901.232
[t=1464000.0s] a=27444, e=0.6640, i=5.0414, Fr=0.5955, Fs=1.0000, Fw=1.0000, reward=874.437
[t=1476000.0s] a=27504, e=0.6630, i=5.1246, Fr=0.5192, Fs=1.0000, Fw=0.1755, reward=576.404
[t=1488000.0s] a=27611, e=0.6636, i=5.1501, Fr=-0.5317, Fs=1.0000, Fw=1.0000, reward=993.317
[t=1500000.0s] a=27616, e=0.6619, i=5.1972, Fr=-0.8484, Fs=1.0000, Fw=-0.3103, reward=673.268
[t=1512000.0s] a=27672, e=0.6602, i=5.2874, Fr=-1.0000, Fs=1.0000, Fw=-0.9036, reward=1004.440
[t=1524000.0s] a=27803, e=0.6602, i=5.3524, Fr=1.0000, Fs=1.0000, Fw=-1.0000, reward=1026.946
[t=1536000.0s] a=27898, e=0.6608, i=5.3572, Fr=0.3009, Fs=0.7173, Fw=0.9729, reward=804.937
[t=1548000.0s] a=27861, e=0.6584, i=5.4287, Fr=0.7535, Fs=1.0000, Fw=-0.9262, reward=1015.590
[t=1560000.0s] a=27880, e=0.6562, i=5.5102, Fr=0.6312, Fs=0.6081, Fw=1.0000, reward=688.928
[t=1572000.0s] a=27929, e=0.6551, i=5.5627, Fr=-0.7394, Fs=0.3642, Fw=1.0000, reward=646.888
[t=1584000.0s] a=28075, e=0.6564, i=5.5697, Fr=0.3121, Fs=0.0485, Fw=0.5286, reward=257.447
[t=1596000.0s] a=28069, e=0.6542, i=5.6794, Fr=-0.7498, Fs=0.2536, Fw=1.0000, reward=507.325
[t=1608000.0s] a=28077, e=0.6517, i=5.7914, Fr=0.8760, Fs=0.7840, Fw=0.7669, reward=691.418
[t=1620000.0s] a=28183, e=0.6514, i=5.8609, Fr=0.9042, Fs=1.0000, Fw=0.7826, reward=887.545
[t=1632000.0s] a=28318, e=0.6525, i=5.8677, Fr=0.2256, Fs=1.0000, Fw=0.0338, reward=512.941
[t=1644000.0s] a=28336, e=0.6505, i=5.9446, Fr=0.1910, Fs=1.0000, Fw=0.4747, reward=679.625
[t=1656000.0s] a=28349, e=0.6482, i=6.0677, Fr=-0.3834, Fs=1.0000, Fw=1.0000, reward=890.197
