
 ------------------------------------------------- 
[t=1140000.0s] a=26498, e=0.6906, i=3.8347, Fr=1.0000, Fs=0.4870, Fw=0.4551, reward=454.021
[t=1152000.0s] a=26549, e=0.6901, i=3.9092, Fr=1.0000, Fs=1.0000, Fw=0.5997, reward=725.438
[t=1164000.0s] a=26570, e=0.6886, i=4.0191, Fr=0.4316, Fs=-0.8771, Fw=1.0000, reward=380.299
[t=1176000.0s] a=26577, e=0.6874, i=4.0670, Fr=-1.0000, Fs=0.3149, Fw=0.2115, reward=248.190
[t=1188000.0s] a=26661, e=0.6879, i=4.0786, Fr=1.0000, Fs=-0.9882, Fw=0.3331, reward=134.618
[t=1200000.0s] a=26696, e=0.6869, i=4.1669, Fr=-1.0000, Fs=0.2359, Fw=-1.0000, reward=682.195
[t=1212000.0s] a=26713, e=0.6852, i=4.2647, Fr=-1.0000, Fs=1.0000, Fw=1.0000, reward=899.408
[t=1224000.0s] a=26871, e=0.6866, i=4.2778, Fr=1.0000, Fs=0.0967, Fw=-0.7008, reward=378.055
[t=1236000.0s] a=26940, e=0.6864, i=4.3031, Fr=0.7777, Fs=1.0000, Fw=1.0000, reward=890.295
[t=1248000.0s] a=26993, e=0.6851, i=4.3678, Fr=1.0000, Fs=0.6651, Fw=0.5306, reward=530.286
[t=1260000.0s] a=26966, e=0.6830, i=4.4659, Fr=-0.0498, Fs=-0.1530, Fw=-0.7323, reward=388.965
[t=1272000.0s] a=27075, e=0.6839, i=4.4737, Fr=-0.3867, Fs=1.0000, Fw=1.0000, reward=968.892
[t=1284000.0s] a=27112, e=0.6829, i=4.5645, Fr=1.0000, Fs=0.9297, Fw=-0.9533, reward=996.967
[t=1296000.0s] a=27129, e=0.6812, i=4.6483, Fr=0.3615, Fs=1.0000, Fw=0.9796, reward=875.025
[t=1308000.0s] a=27196, e=0.6806, i=4.7061, Fr=0.6665, Fs=1.0000, Fw=-0.2702, reward=640.701
[t=1320000.0s] a=27341, e=0.6819, i=4.7215, Fr=1.0000, Fs=1.0000, Fw=-0.7645, reward=902.295
[t=1332000.0s] a=27391, e=0.6808, i=4.8144, Fr=0.3415, Fs=0.5743, Fw=-0.7325, reward=699.980
[t=1344000.0s] a=27382, e=0.6786, i=4.9283, Fr=0.7792, Fs=0.5462, Fw=-1.0000, reward=825.629
[t=1356000.0s] a=27181, e=0.6744, i=4.9559, Fr=0.1061, Fs=1.0000, Fw=0.0348, reward=517.437
[t=1368000.0s] a=27167, e=0.6732, i=4.9862, Fr=-0.2884, Fs=1.0000, Fw=-1.0000, reward=1046.215
[t=1380000.0s] a=27155, e=0.6710, i=5.0689, Fr=0.7284, Fs=1.0000, Fw=-0.7030, reward=895.703
[t=1392000.0s] a=27147, e=0.6689, i=5.1211, Fr=-0.7416, Fs=1.0000, Fw=1.0000, reward=916.844
[t=1404000.0s] a=27178, e=0.6684, i=5.1359, Fr=0.7212, Fs=1.0000, Fw=-0.8574, reward=919.211
[t=1416000.0s] a=26942, e=0.6632, i=5.1956, Fr=-0.7165, Fs=0.7782, Fw=1.0000, reward=780.471
[t=1428000.0s] a=26985, e=0.6616, i=5.2705, Fr=-1.0000, Fs=1.0000, Fw=-0.3054, reward=669.060
[t=1440000.0s] a=26951, e=0.6592, i=5.3338, Fr=-0.2314, Fs=-0.2416, Fw=1.0000, reward=457.254
[t=1452000.0s] a=27165, e=0.6617, i=5.3414, Fr=-0.8881, Fs=1.0000, Fw=1.0000, reward=953.265
[t=1464000.0s] a=27146, e=0.6596, i=5.4058, Fr=-0.1205, Fs=1.0000, Fw=-1.0000, reward=1060.092
[t=1476000.0s] a=27190, e=0.6579, i=5.5291, Fr=-0.0782, Fs=1.0000, Fw=0.2029, reward=580.080
[t=1488000.0s] a=27212, e=0.6566, i=5.5672, Fr=-1.0000, Fs=1.0000, Fw=-0.6980, reward=833.038
[t=1500000.0s] a=27294, e=0.6568, i=5.5843, Fr=0.4627, Fs=0.8889, Fw=-0.7885, reward=867.615
[t=1512000.0s] a=27377, e=0.6561, i=5.6802, Fr=1.0000, Fs=1.0000, Fw=1.0000, reward=875.271
[t=1524000.0s] a=27422, e=0.6545, i=5.7638, Fr=0.0453, Fs=1.0000, Fw=-0.1107, reward=559.935
[t=1536000.0s] a=27434, e=0.6535, i=5.7879, Fr=-0.8404, Fs=1.0000, Fw=0.4556, reward=733.427
[t=1548000.0s] a=27383, e=0.6511, i=5.8216, Fr=-1.0000, Fs=1.0000, Fw=0.8567, reward=845.066
[t=1560000.0s] a=27421, e=0.6494, i=5.9171, Fr=0.2302, Fs=-0.0316, Fw=1.0000, reward=379.307
[t=1572000.0s] a=27468, e=0.6479, i=6.0115, Fr=-0.0660, Fs=1.0000, Fw=0.9636, reward=932.720
[t=1584000.0s] a=27542, e=0.6481, i=6.0064, Fr=-0.0949, Fs=0.9360, Fw=-1.0000, reward=978.709
[t=1596000.0s] a=27479, e=0.6452, i=6.0730, Fr=1.0000, Fs=1.0000, Fw=0.7464, reward=785.882
[t=1608000.0s] a=27521, e=0.6432, i=6.1548, Fr=-1.0000, Fs=1.0000, Fw=-0.6566, reward=858.154
[t=1620000.0s] a=27466, e=0.6403, i=6.1874, Fr=-0.5188, Fs=1.0000, Fw=-0.3741, reward=668.963
[t=1632000.0s] a=27463, e=0.6393, i=6.1768, Fr=0.2337, Fs=1.0000, Fw=0.6949, reward=800.028
[t=1644000.0s] a=27486, e=0.6373, i=6.2129, Fr=-0.4161, Fs=1.0000, Fw=-0.3205, reward=647.593
[t=1656000.0s] a=27524, e=0.6353, i=6.1133, Fr=-0.8375, Fs=1.0000, Fw=0.3507, reward=692.153
