
 ------------------------------------------------- 
[t=840000.0s] a=24896, e=0.6961, i=3.9494, Fr=-1.0000, Fs=1.0000, Fw=-0.3733, reward=683.192
[t=852000.0s] a=24934, e=0.6956, i=3.8905, Fr=-0.3094, Fs=0.5864, Fw=-1.0000, reward=673.584
[t=864000.0s] a=24957, e=0.6946, i=3.8358, Fr=1.0000, Fs=1.0000, Fw=-0.9063, reward=855.071
[t=876000.0s] a=25040, e=0.6950, i=3.7974, Fr=-0.1199, Fs=1.0000, Fw=-1.0000, reward=1009.918
[t=888000.0s] a=24921, e=0.6924, i=3.7638, Fr=1.0000, Fs=0.4267, Fw=0.7670, reward=633.349
[t=900000.0s] a=24926, e=0.6910, i=3.6792, Fr=1.0000, Fs=1.0000, Fw=-0.3478, reward=632.238
[t=912000.0s] a=25005, e=0.6911, i=3.6190, Fr=-0.0799, Fs=1.0000, Fw=-0.7069, reward=836.374
[t=924000.0s] a=25030, e=0.6910, i=3.5980, Fr=-0.2494, Fs=0.2921, Fw=1.0000, reward=686.164
[t=936000.0s] a=25056, e=0.6900, i=3.5204, Fr=1.0000, Fs=1.0000, Fw=0.1397, reward=578.436
[t=948000.0s] a=25084, e=0.6893, i=3.4742, Fr=1.0000, Fs=0.5811, Fw=1.0000, reward=828.196
[t=960000.0s] a=25130, e=0.6895, i=3.4616, Fr=-0.8831, Fs=-0.8548, Fw=0.9235, reward=484.044
[t=972000.0s] a=25092, e=0.6875, i=3.4083, Fr=-0.0192, Fs=1.0000, Fw=1.0000, reward=1059.046
[t=984000.0s] a=25115, e=0.6862, i=3.3592, Fr=0.0602, Fs=0.2254, Fw=-0.9822, reward=503.418
[t=996000.0s] a=25276, e=0.6878, i=3.3449, Fr=1.0000, Fs=0.9631, Fw=1.0000, reward=959.777
[t=1008000.0s] a=25455, e=0.6894, i=3.3131, Fr=1.0000, Fs=-0.7309, Fw=-1.0000, reward=404.710
[t=1020000.0s] a=25468, e=0.6881, i=3.2184, Fr=-0.5703, Fs=0.6963, Fw=0.7670, reward=758.007
[t=1032000.0s] a=25444, e=0.6865, i=3.1876, Fr=0.3423, Fs=1.0000, Fw=-1.0000, reward=977.028
[t=1044000.0s] a=25420, e=0.6854, i=3.2242, Fr=-0.0961, Fs=1.0000, Fw=0.3990, reward=660.786
[t=1056000.0s] a=25450, e=0.6843, i=3.3146, Fr=1.0000, Fs=1.0000, Fw=1.0000, reward=892.116
[t=1068000.0s] a=25471, e=0.6831, i=3.3794, Fr=-0.4980, Fs=-0.2744, Fw=-0.5745, reward=297.551
[t=1080000.0s] a=25755, e=0.6867, i=3.3886, Fr=-0.8534, Fs=1.0000, Fw=1.0000, reward=951.091
[t=1092000.0s] a=25732, e=0.6850, i=3.4381, Fr=0.6762, Fs=1.0000, Fw=1.0000, reward=875.134
[t=1104000.0s] a=25742, e=0.6837, i=3.5071, Fr=-1.0000, Fs=1.0000, Fw=-0.0020, reward=497.481
[t=1116000.0s] a=25870, e=0.6846, i=3.5305, Fr=1.0000, Fs=1.0000, Fw=0.6656, reward=841.072
[t=1128000.0s] a=25790, e=0.6823, i=3.5687, Fr=-0.6264, Fs=0.6254, Fw=0.7329, reward=602.029
[t=1140000.0s] a=25772, e=0.6802, i=3.6600, Fr=1.0000, Fs=1.0000, Fw=0.5095, reward=694.197
[t=1152000.0s] a=25823, e=0.6796, i=3.7479, Fr=0.6702, Fs=0.5491, Fw=0.1640, reward=351.835
[t=1164000.0s] a=25857, e=0.6794, i=3.7695, Fr=0.1953, Fs=0.3935, Fw=1.0000, reward=632.222
[t=1176000.0s] a=25891, e=0.6784, i=3.8680, Fr=1.0000, Fs=1.0000, Fw=1.0000, reward=874.174
[t=1188000.0s] a=25912, e=0.6768, i=3.9463, Fr=1.0000, Fs=-0.1709, Fw=1.0000, reward=411.110
[t=1200000.0s] a=26047, e=0.6778, i=3.9735, Fr=-1.0000, Fs=0.2716, Fw=0.2890, reward=286.057
[t=1212000.0s] a=26039, e=0.6765, i=4.0269, Fr=-1.0000, Fs=0.5914, Fw=0.7777, reward=600.524
[t=1224000.0s] a=26035, e=0.6745, i=4.0922, Fr=-1.0000, Fs=1.0000, Fw=0.6684, reward=753.679
[t=1236000.0s] a=26029, e=0.6728, i=4.1690, Fr=-1.0000, Fs=1.0000, Fw=-1.0000, reward=1006.480
[t=1248000.0s] a=26067, e=0.6725, i=4.1784, Fr=0.6101, Fs=0.6380, Fw=1.0000, reward=747.100
[t=1260000.0s] a=26112, e=0.6713, i=4.2590, Fr=-0.9935, Fs=1.0000, Fw=-0.6256, reward=851.542
[t=1272000.0s] a=26132, e=0.6698, i=4.3431, Fr=-0.1849, Fs=0.6602, Fw=1.0000, reward=740.962
[t=1284000.0s] a=26305, e=0.6715, i=4.3683, Fr=-1.0000, Fs=0.7103, Fw=-0.4204, reward=563.707
[t=1296000.0s] a=26477, e=0.6728, i=4.4028, Fr=-0.9444, Fs=1.0000, Fw=0.0931, reward=537.664
[t=1308000.0s] a=26506, e=0.6712, i=4.4599, Fr=0.9373, Fs=0.3576, Fw=-0.5923, reward=510.664
[t=1320000.0s] a=26644, e=0.6718, i=4.5107, Fr=-0.1992, Fs=1.0000, Fw=0.8738, reward=899.202
[t=1332000.0s] a=26597, e=0.6702, i=4.5165, Fr=-0.5231, Fs=1.0000, Fw=0.9152, reward=907.744
[t=1344000.0s] a=26653, e=0.6693, i=4.5603, Fr=-0.1738, Fs=1.0000, Fw=1.0000, reward=876.453
[t=1356000.0s] a=26646, e=0.6672, i=4.6657, Fr=-0.4285, Fs=1.0000, Fw=-0.3520, reward=691.894
[t=1368000.0s] a=26693, e=0.6666, i=4.6938, Fr=0.1892, Fs=1.0000, Fw=1.0000, reward=1010.383
