
 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 
[t=972000.0s] a=8353, e=0.1542, goal_e=0.2079, Fr=1.0000, Fs=0.4087, reward=150.160
[t=984000.0s] a=8344, e=0.1554, goal_e=0.2079, Fr=0.0563, Fs=-0.3856, reward=150.124
[t=996000.0s] a=8343, e=0.1587, goal_e=0.2079, Fr=1.0000, Fs=0.9857, reward=151.504
[t=1008000.0s] a=8327, e=0.1639, goal_e=0.2079, Fr=-0.7242, Fs=0.1726, reward=154.994
[t=1020000.0s] a=8332, e=0.1678, goal_e=0.2079, Fr=-1.0000, Fs=0.3597, reward=-41.906
[t=1032000.0s] a=8309, e=0.1714, goal_e=0.2079, Fr=-0.3613, Fs=-0.9783, reward=-40.306
[t=1044000.0s] a=8307, e=0.1743, goal_e=0.2079, Fr=-0.5566, Fs=-1.0000, reward=163.803
[t=1056000.0s] a=8311, e=0.1788, goal_e=0.2079, Fr=0.5264, Fs=0.0309, reward=169.604
[t=1068000.0s] a=8304, e=0.1824, goal_e=0.2079, Fr=0.1227, Fs=1.0000, reward=-28.115
[t=1080000.0s] a=8295, e=0.1854, goal_e=0.2079, Fr=0.2341, Fs=-1.0000, reward=174.755
[t=1092000.0s] a=8269, e=0.1895, goal_e=0.2079, Fr=-1.0000, Fs=1.0000, reward=180.801
[t=1104000.0s] a=8261, e=0.1932, goal_e=0.2079, Fr=-1.0000, Fs=-0.1843, reward=208.211
[t=1116000.0s] a=8265, e=0.1975, goal_e=0.2079, Fr=0.3732, Fs=-0.6906, reward=413.723
[t=1128000.0s] a=8242, e=0.2017, goal_e=0.2079, Fr=0.1933, Fs=-1.0000, reward=898.496
[t=1140000.0s] a=8241, e=0.2049, goal_e=0.2079, Fr=-0.4256, Fs=-1.0000, reward=1659.280
[t=1152000.0s] a=8242, e=0.2086, goal_e=0.2079, Fr=-0.1829, Fs=1.0000, reward=1978.845
[t=1164000.0s] a=8244, e=0.2123, goal_e=0.2079, Fr=-1.0000, Fs=0.0454, reward=1365.449
[t=1176000.0s] a=8251, e=0.2158, goal_e=0.2079, Fr=0.6691, Fs=0.5761, reward=566.199
[t=1188000.0s] a=8232, e=0.2199, goal_e=0.2079, Fr=-0.2678, Fs=0.6982, reward=101.476
[t=1200000.0s] a=8224, e=0.2234, goal_e=0.2079, Fr=0.4260, Fs=-1.0000, reward=-2.727
[t=1212000.0s] a=8214, e=0.2269, goal_e=0.2079, Fr=0.3810, Fs=-0.3192, reward=-19.345
[t=1224000.0s] a=8210, e=0.2290, goal_e=0.2079, Fr=-0.1608, Fs=-0.7414, reward=-23.789
[t=1236000.0s] a=8207, e=0.2318, goal_e=0.2079, Fr=0.1239, Fs=-1.0000, reward=-27.851
[t=1248000.0s] a=8195, e=0.2345, goal_e=0.2079, Fr=0.0830, Fs=1.0000, reward=-30.844
[t=1260000.0s] a=8191, e=0.2373, goal_e=0.2079, Fr=-1.0000, Fs=0.0645, reward=-32.556
[t=1272000.0s] a=8204, e=0.2403, goal_e=0.2079, Fr=1.0000, Fs=-0.4554, reward=-36.134
[t=1284000.0s] a=8194, e=0.2439, goal_e=0.2079, Fr=-1.0000, Fs=-1.0000, reward=-39.559
[t=1296000.0s] a=8206, e=0.2469, goal_e=0.2079, Fr=0.6457, Fs=-1.0000, reward=-3225.810
 FAILURE #4 of #4 episodes

 ------------------------------------------------- 
[t=12000.0s] a=8501, e=0.1070, goal_e=0.1917, Fr=0.8996, Fs=-1.0000, reward=612.776
[t=24000.0s] a=8502, e=0.1102, goal_e=0.1917, Fr=0.4878, Fs=0.4293, reward=616.519
[t=36000.0s] a=8505, e=0.1131, goal_e=0.1917, Fr=-0.3793, Fs=-0.6411, reward=617.457
