
 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 
[t=888000.0s] a=8491, e=0.0288, goal_e=0.0119, Fr=-0.3474, Fs=-0.6993, reward=83.487
[t=900000.0s] a=8490, e=0.0258, goal_e=0.0119, Fr=-0.4716, Fs=0.2255, reward=87.022
[t=912000.0s] a=8494, e=0.0245, goal_e=0.0119, Fr=0.5076, Fs=-1.0000, reward=75.179
[t=924000.0s] a=8505, e=0.0225, goal_e=0.0119, Fr=0.8604, Fs=-0.3938, reward=-120.422
[t=936000.0s] a=8502, e=0.0204, goal_e=0.0119, Fr=0.1673, Fs=-1.0000, reward=129.778
[t=948000.0s] a=8501, e=0.0193, goal_e=0.0119, Fr=0.8000, Fs=-0.0006, reward=-47.278
[t=960000.0s] a=8490, e=0.0169, goal_e=0.0119, Fr=1.0000, Fs=1.0000, reward=-76.822
 SUCCESS #1 of #4 episodes

 ------------------------------------------------- 
[t=12000.0s] a=8505, e=0.1107, goal_e=0.0694, Fr=-0.2846, Fs=1.0000, reward=33.889
[t=24000.0s] a=8501, e=0.1080, goal_e=0.0694, Fr=0.3236, Fs=0.4345, reward=-156.013
[t=36000.0s] a=8506, e=0.1051, goal_e=0.0694, Fr=-1.0000, Fs=0.1358, reward=-138.261
[t=48000.0s] a=8478, e=0.1012, goal_e=0.0694, Fr=1.0000, Fs=-0.4985, reward=-208.985
[t=60000.0s] a=8486, e=0.0985, goal_e=0.0694, Fr=1.0000, Fs=-0.8616, reward=-171.954
[t=72000.0s] a=8492, e=0.0961, goal_e=0.0694, Fr=1.0000, Fs=0.7397, reward=-150.073
[t=84000.0s] a=8505, e=0.0922, goal_e=0.0694, Fr=0.5395, Fs=1.0000, reward=63.703
[t=96000.0s] a=8480, e=0.0884, goal_e=0.0694, Fr=0.0144, Fs=1.0000, reward=35.959
[t=108000.0s] a=8485, e=0.0854, goal_e=0.0694, Fr=-0.3412, Fs=-1.0000, reward=62.059
[t=120000.0s] a=8486, e=0.0829, goal_e=0.0694, Fr=0.5881, Fs=-1.0000, reward=-150.399
[t=132000.0s] a=8498, e=0.0796, goal_e=0.0694, Fr=-0.2358, Fs=-0.8934, reward=103.699
[t=144000.0s] a=8483, e=0.0767, goal_e=0.0694, Fr=-1.0000, Fs=0.7028, reward=110.040
 SUCCESS #2 of #5 episodes

 ------------------------------------------------- 
[t=12000.0s] a=8501, e=0.1118, goal_e=0.2334, Fr=0.8002, Fs=1.0000, reward=-332.019
[t=24000.0s] a=8479, e=0.1087, goal_e=0.2334, Fr=-1.0000, Fs=-0.3948, reward=-399.445
