
 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 
[t=420000.0s] a=8521, e=0.1498, goal_e=0.1034, Fr=-1.0000, Fs=-0.0780, reward=67.325
[t=432000.0s] a=8521, e=0.1493, goal_e=0.1034, Fr=-1.0000, Fs=-0.6102, reward=315.745
[t=444000.0s] a=8518, e=0.1483, goal_e=0.1034, Fr=0.7546, Fs=0.2990, reward=329.466
[t=456000.0s] a=8517, e=0.1478, goal_e=0.1034, Fr=-0.5991, Fs=1.0000, reward=333.295
[t=468000.0s] a=8523, e=0.1481, goal_e=0.1034, Fr=-0.4926, Fs=1.0000, reward=64.269
[t=480000.0s] a=8515, e=0.1479, goal_e=0.1034, Fr=-0.8022, Fs=-0.0227, reward=362.567
[t=492000.0s] a=8509, e=0.1480, goal_e=0.1034, Fr=-0.4885, Fs=-1.0000, reward=364.463
[t=504000.0s] a=8511, e=0.1467, goal_e=0.1034, Fr=1.0000, Fs=1.0000, reward=358.749
[t=516000.0s] a=8500, e=0.1470, goal_e=0.1034, Fr=-0.2901, Fs=-0.6255, reward=378.310
[t=528000.0s] a=8497, e=0.1470, goal_e=0.1034, Fr=-0.0789, Fs=-0.0061, reward=156.511
[t=540000.0s] a=8502, e=0.1474, goal_e=0.1034, Fr=-0.7456, Fs=0.2084, reward=376.890
[t=552000.0s] a=8507, e=0.1475, goal_e=0.1034, Fr=-0.1078, Fs=-0.7443, reward=126.609
[t=564000.0s] a=8509, e=0.1467, goal_e=0.1034, Fr=-0.4809, Fs=-1.0000, reward=363.417
[t=576000.0s] a=8505, e=0.1461, goal_e=0.1034, Fr=0.1290, Fs=0.4525, reward=375.614
[t=588000.0s] a=8503, e=0.1459, goal_e=0.1034, Fr=0.1388, Fs=0.0382, reward=158.125
[t=600000.0s] a=8503, e=0.1455, goal_e=0.1034, Fr=-0.2409, Fs=-0.4739, reward=136.980
[t=612000.0s] a=8493, e=0.1456, goal_e=0.1034, Fr=0.1639, Fs=-1.0000, reward=128.230
[t=624000.0s] a=8496, e=0.1461, goal_e=0.1034, Fr=0.0963, Fs=-0.6054, reward=376.390
[t=636000.0s] a=8505, e=0.1466, goal_e=0.1034, Fr=-0.0057, Fs=1.0000, reward=373.373
[t=648000.0s] a=8497, e=0.1464, goal_e=0.1034, Fr=0.3639, Fs=1.0000, reward=132.472
[t=660000.0s] a=8505, e=0.1457, goal_e=0.1034, Fr=0.5729, Fs=0.3504, reward=375.664
[t=672000.0s] a=8502, e=0.1465, goal_e=0.1034, Fr=0.0861, Fs=0.2663, reward=137.002
[t=684000.0s] a=8510, e=0.1461, goal_e=0.1034, Fr=-0.0378, Fs=1.0000, reward=361.728
[t=696000.0s] a=8518, e=0.1467, goal_e=0.1034, Fr=-0.3009, Fs=0.2592, reward=90.032
[t=708000.0s] a=8525, e=0.1473, goal_e=0.1034, Fr=0.3984, Fs=0.4227, reward=297.432
[t=720000.0s] a=8530, e=0.1464, goal_e=0.1034, Fr=-1.0000, Fs=0.8150, reward=272.934
[t=732000.0s] a=8532, e=0.1462, goal_e=0.1034, Fr=-0.4016, Fs=-0.3228, reward=26.846
[t=744000.0s] a=8529, e=0.1460, goal_e=0.1034, Fr=-0.2796, Fs=-0.6237, reward=82.456
[t=756000.0s] a=8526, e=0.1467, goal_e=0.1034, Fr=-1.0000, Fs=1.0000, reward=51.644
[t=768000.0s] a=8525, e=0.1450, goal_e=0.1034, Fr=-1.0000, Fs=-0.9545, reward=101.927
