
 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 
[t=960000.0s] a=8720, e=0.0485, goal_e=0.1642, Fr=0.0416, Fs=-0.8380, reward=-1416.221
[t=972000.0s] a=8715, e=0.0496, goal_e=0.1642, Fr=-1.0000, Fs=0.1550, reward=-1190.418
[t=984000.0s] a=8713, e=0.0499, goal_e=0.1642, Fr=1.0000, Fs=1.0000, reward=-1179.891
[t=996000.0s] a=8719, e=0.0501, goal_e=0.1642, Fr=-0.9156, Fs=-1.0000, reward=-1209.892
[t=1008000.0s] a=8723, e=0.0508, goal_e=0.1642, Fr=-0.6736, Fs=-1.0000, reward=-1429.374
[t=1020000.0s] a=8727, e=0.0506, goal_e=0.1642, Fr=1.0000, Fs=-0.2740, reward=-1447.946
[t=1032000.0s] a=8719, e=0.0511, goal_e=0.1642, Fr=0.4064, Fs=0.0720, reward=-1207.522
[t=1044000.0s] a=8729, e=0.0514, goal_e=0.1642, Fr=1.0000, Fs=-1.0000, reward=-1258.963
[t=1056000.0s] a=8726, e=0.0512, goal_e=0.1642, Fr=-0.3692, Fs=0.3207, reward=-1241.659
[t=1068000.0s] a=8733, e=0.0509, goal_e=0.1642, Fr=1.0000, Fs=-0.5249, reward=-1280.286
[t=1080000.0s] a=8730, e=0.0523, goal_e=0.1642, Fr=0.2261, Fs=1.0000, reward=-1260.413
[t=1092000.0s] a=8721, e=0.0527, goal_e=0.1642, Fr=0.0937, Fs=0.2172, reward=-1412.254
[t=1104000.0s] a=8718, e=0.0537, goal_e=0.1642, Fr=0.4175, Fs=1.0000, reward=-1197.381
[t=1116000.0s] a=8715, e=0.0553, goal_e=0.1642, Fr=-0.8366, Fs=-1.0000, reward=-1180.534
[t=1128000.0s] a=8722, e=0.0555, goal_e=0.1642, Fr=-0.8203, Fs=1.0000, reward=-1211.619
[t=1140000.0s] a=8734, e=0.0564, goal_e=0.1642, Fr=0.8023, Fs=1.0000, reward=-1469.914
[t=1152000.0s] a=8736, e=0.0564, goal_e=0.1642, Fr=-1.0000, Fs=1.0000, reward=-1282.701
[t=1164000.0s] a=8734, e=0.0563, goal_e=0.1642, Fr=0.1413, Fs=-0.8571, reward=-1269.798
[t=1176000.0s] a=8717, e=0.0579, goal_e=0.1642, Fr=-0.3060, Fs=0.3255, reward=-1180.942
[t=1188000.0s] a=8719, e=0.0577, goal_e=0.1642, Fr=0.5880, Fs=-0.1123, reward=-1191.871
[t=1200000.0s] a=8697, e=0.0583, goal_e=0.1642, Fr=-0.3679, Fs=0.7879, reward=-1080.263
[t=1212000.0s] a=8711, e=0.0586, goal_e=0.1642, Fr=1.0000, Fs=-1.0000, reward=-1150.855
[t=1224000.0s] a=8715, e=0.0596, goal_e=0.1642, Fr=1.0000, Fs=-0.1824, reward=-1372.287
[t=1236000.0s] a=8716, e=0.0614, goal_e=0.1642, Fr=0.2053, Fs=0.5262, reward=-1168.676
[t=1248000.0s] a=8704, e=0.0622, goal_e=0.1642, Fr=1.0000, Fs=-1.0000, reward=-1309.639
[t=1260000.0s] a=8704, e=0.0622, goal_e=0.1642, Fr=1.0000, Fs=-1.0000, reward=-1310.901
[t=1272000.0s] a=8696, e=0.0630, goal_e=0.1642, Fr=-1.0000, Fs=-0.2846, reward=-1068.033
[t=1284000.0s] a=8691, e=0.0633, goal_e=0.1642, Fr=-1.0000, Fs=0.0887, reward=-1243.529
[t=1296000.0s] a=8677, e=0.0634, goal_e=0.1642, Fr=-0.7888, Fs=-1.0000, reward=-3036.229
 FAILURE #4 of #4 episodes

 ------------------------------------------------- 
[t=12000.0s] a=8507, e=0.0749, goal_e=0.0025, Fr=-0.2113, Fs=-0.3210, reward=-228.134
[t=24000.0s] a=8509, e=0.0746, goal_e=0.0025, Fr=-0.9810, Fs=0.5765, reward=-236.230
[t=36000.0s] a=8492, e=0.0756, goal_e=0.0025, Fr=-0.9108, Fs=0.5887, reward=-34.474
[t=48000.0s] a=8503, e=0.0752, goal_e=0.0025, Fr=-1.0000, Fs=-1.0000, reward=-25.973
[t=60000.0s] a=8498, e=0.0756, goal_e=0.0025, Fr=-1.0000, Fs=-0.3878, reward=-226.094
[t=72000.0s] a=8510, e=0.0777, goal_e=0.0025, Fr=-1.0000, Fs=-0.4928, reward=-45.051
[t=84000.0s] a=8515, e=0.0784, goal_e=0.0025, Fr=0.4564, Fs=0.7767, reward=-61.853
[t=96000.0s] a=8517, e=0.0784, goal_e=0.0025, Fr=1.0000, Fs=0.4009, reward=-271.124
[t=108000.0s] a=8505, e=0.0799, goal_e=0.0025, Fr=1.0000, Fs=-0.6507, reward=-38.247
[t=120000.0s] a=8502, e=0.0801, goal_e=0.0025, Fr=-0.5154, Fs=0.3702, reward=-33.590
[t=132000.0s] a=8498, e=0.0817, goal_e=0.0025, Fr=-1.0000, Fs=-0.1417, reward=-218.587
[t=144000.0s] a=8493, e=0.0822, goal_e=0.0025, Fr=-1.0000, Fs=-0.5773, reward=-248.075
[t=156000.0s] a=8500, e=0.0830, goal_e=0.0025, Fr=-0.1378, Fs=0.4244, reward=-238.416
[t=168000.0s] a=8507, e=0.0845, goal_e=0.0025, Fr=0.5230, Fs=-0.8441, reward=-252.641
[t=180000.0s] a=8499, e=0.0848, goal_e=0.0025, Fr=1.0000, Fs=-0.7047, reward=-44.998
[t=192000.0s] a=8500, e=0.0860, goal_e=0.0025, Fr=0.3918, Fs=-1.0000, reward=-247.927
[t=204000.0s] a=8511, e=0.0873, goal_e=0.0025, Fr=0.3150, Fs=1.0000, reward=-268.816
[t=216000.0s] a=8511, e=0.0880, goal_e=0.0025, Fr=-1.0000, Fs=-0.2636, reward=-271.688
[t=228000.0s] a=8508, e=0.0878, goal_e=0.0025, Fr=-0.3167, Fs=0.5101, reward=-259.132
[t=240000.0s] a=8501, e=0.0881, goal_e=0.0025, Fr=0.0113, Fs=1.0000, reward=-52.127
[t=252000.0s] a=8503, e=0.0905, goal_e=0.0025, Fr=0.8860, Fs=0.4851, reward=-258.799
[t=264000.0s] a=8520, e=0.0900, goal_e=0.0025, Fr=0.5563, Fs=0.6195, reward=-308.498
[t=276000.0s] a=8513, e=0.0903, goal_e=0.0025, Fr=-0.3752, Fs=-0.4039, reward=-280.912
[t=288000.0s] a=8519, e=0.0912, goal_e=0.0025, Fr=-0.7255, Fs=-0.9694, reward=-107.791
[t=300000.0s] a=8519, e=0.0928, goal_e=0.0025, Fr=0.7239, Fs=-0.9344, reward=-314.665
[t=312000.0s] a=8527, e=0.0935, goal_e=0.0025, Fr=-0.2083, Fs=-1.0000, reward=-150.021
[t=324000.0s] a=8528, e=0.0953, goal_e=0.0025, Fr=-0.3550, Fs=-0.1668, reward=-358.084
